prov_name,iec_id,dist_name,polling_centers,male_stations,female_stations,tefa,anpo,aynso,all_observers,hasfefa,teams,agcho_dist_id
Paktya,1306,SAYYID KARAM,20,29,22,15,12,0,27,1,"TEFA, ANPO, FEFA",1202
Paktya,1302,AHMADABAD,12,27,19,18,12,0,30,1,"TEFA, ANPO, FEFA",1203
Paktya,1303,ZURMAT,34,40,34,20,0,0,20,0,TEFA,1204
Paktya,1304,SHWAK,2,5,3,4,0,0,4,1,"TEFA, FEFA",1205
Paktya,1305,WUZA ZADRAN,19,29,20,18,0,0,18,1,"TEFA, FEFA",1206
Paktya,1308,LAJA AHMAD KHEL,15,22,15,18,0,0,18,1,"TEFA, FEFA",1207
Paktya,1307,JAJI ARYOB,28,61,41,18,12,0,30,1,"TEFA, ANPO, FEFA",1208
Paktya,1309,JANI KHEL,11,16,12,0,0,0,0,0,,1209
Paktya,1310,SAMKANI,13,27,25,18,0,0,18,1,"TEFA, FEFA",1210
Paktya,1311,DAND PATAN,13,20,14,18,0,0,18,1,"TEFA, FEFA",1211
Kunar,1501,ASAD ABAD,10,40,20,17,20,0,37,1,"TEFA, ANPO, FEFA",1301
Kunar,1503,WATAPOOR,4,9,5,6,0,0,6,1,"TEFA, FEFA",1302
Kunar,1504,NARANG,7,14,8,0,4,0,4,1,"ANPO, FEFA",1303
Kunar,1505,SAR KANI,4,12,7,0,0,0,0,1,FEFA,1304
Kunar,1502,MARA WARA,5,14,6,10,4,0,14,1,"TEFA, ANPO, FEFA",1305
Kunar,1506,SHIGAL WA SHILTAN,6,17,12,0,8,0,8,1,"ANPO, FEFA",1306
Kunar,1507,DARA-E-PECH,13,22,18,0,0,0,0,1,FEFA,1307
Kunar,1509,SAWKAI,7,18,10,0,0,0,0,1,FEFA,1308
Kunar,1510,KHAS KUNAR,10,22,13,14,0,0,14,1,"TEFA, FEFA",1309
Kunar,1512,DANGAM,4,9,7,0,0,0,0,0,,1310
Kunar,1508,BAR KUNAR,7,14,8,0,0,0,0,0,,1311
Kunar,1511,GHAZI ABAD,3,8,6,0,0,0,0,0,,1312
Kunar,1513,CHAPA DARA,4,11,5,8,0,0,8,0,TEFA,1313
