prov_name,iec_id,dist_name,polling_centers,male_stations,female_stations,tefa,anpo,aynso,all_observers,hasfefa,teams,agcho_dist_id
Khost,1409,BAAK,7,15,9,0,0,0,0,1,FEFA,2612
Khost,1413,JAJI MAIDAN,10,25,17,20,8,0,28,1,"TEFA, ANPO, FEFA",2613
Jawzjan,2801,SHEBERGHAN,32,106,65,17,0,0,17,1,"TEFA, FEFA",2701
Jawzjan,2804,MINGAJIK,11,20,14,14,0,0,14,0,TEFA,2702
Jawzjan,2802,KHWAJA DUKOH,6,11,8,9,0,0,9,0,TEFA,2703
Jawzjan,2805,QUSH TEPA,10,20,14,14,0,0,14,0,TEFA,2704
Jawzjan,2808,FAIZABAD,12,16,12,14,0,0,14,0,TEFA,2705
Jawzjan,2803,KHANAQA,8,12,8,9,0,0,9,1,"TEFA, FEFA",2706
Jawzjan,2807,AQCHAH,16,32,22,14,0,0,14,0,TEFA,2707
Jawzjan,2809,MARDYAN,9,14,12,12,0,0,12,1,"TEFA, FEFA",2708
Jawzjan,2810,QARQIN,4,12,6,12,0,0,12,1,"TEFA, FEFA",2709
Jawzjan,2806,KHAMYAB,4,7,5,0,0,0,0,1,FEFA,2710
Jawzjan,2811,DARZAB,15,22,15,0,0,0,0,0,,2711
Faryab,2901,MAIMANA,18,42,34,20,0,0,20,1,"TEFA, FEFA",2801
Faryab,2903,KHWAJA SABZ POSH,11,21,15,15,0,0,15,0,TEFA,2802
Faryab,2902,PASHTUN KOT,40,47,41,15,0,0,15,1,"TEFA, FEFA",2803
Faryab,2906,SHIRIN TAGAB,15,31,25,15,0,0,15,1,"TEFA, FEFA",2804
Faryab,2904,ALMAR,17,26,20,0,0,0,0,0,,2805
Faryab,2907,QAISAR,34,51,42,15,0,0,15,0,TEFA,2806
Faryab,2910,KOHISTAN,14,21,18,15,0,0,15,0,TEFA,2807
Faryab,2908,GURZIWAN,16,31,28,15,0,0,15,0,TEFA,2808
Faryab,2905,BIL CHIRAGH,9,18,13,15,0,0,15,1,"TEFA, FEFA",2809
Faryab,2909,DAWLAT ABAD,12,30,17,15,0,0,15,1,"TEFA, FEFA",2810
Faryab,2913,ANDKHOY,9,26,21,15,0,0,15,1,"TEFA, FEFA",2811
Faryab,2911,QARAM QUL,6,11,9,10,0,0,10,0,TEFA,2812
Faryab,2914,KHANI CHARBAGH,6,14,7,10,0,0,10,0,TEFA,2813
Faryab,2912,QURGHAN,9,16,14,15,0,0,15,0,TEFA,2814
Badghis,3101,QALA-E-NOW,19,47,37,17,0,28,45,1,"TEFA, AYNSO, FEFA",2901
Badghis,3103,MUQUR,8,12,8,9,0,4,13,1,"TEFA, AYNSO, FEFA",2902
Badghis,3102,AB KAMARI,21,35,21,17,0,8,25,1,"TEFA, AYNSO, FEFA",2903
Badghis,3104,QADIS,34,46,34,17,0,6,23,1,"TEFA, AYNSO, FEFA",2904
Badghis,3106,JAWAND,37,46,38,17,0,0,17,0,TEFA,2905
Badghis,3105,BALA MURGHAB,10,15,11,12,0,0,12,1,"TEFA, FEFA",2906
Badghis,3107,GHORMACH,23,30,22,17,0,0,17,0,TEFA,2907
Herat,3201,HERAT,46,155,147,20,0,48,68,1,"TEFA, AYNSO, FEFA",3001
Herat,3202,ENJIL,53,88,64,20,0,18,38,1,"TEFA, AYNSO, FEFA",3002
Herat,3207,KUSHK (RUBAT-E,33,54,38,20,0,6,26,1,"TEFA, AYNSO, FEFA",3003
Herat,3205,ZENDAJAN,18,29,22,15,0,8,23,1,"TEFA, AYNSO, FEFA",3004
Herat,3203,GUZARA,38,60,42,20,0,18,38,1,"TEFA, AYNSO, FEFA",3005
Herat,3206,PASHTUN ZARGHUN,30,44,34,20,0,6,26,1,"TEFA, AYNSO, FEFA",3006
Herat,3204,KARRUKH,18,32,22,15,0,8,23,1,"TEFA, AYNSO, FEFA",3007
Herat,3208,GULRAN,29,51,34,20,0,6,26,1,"TEFA, AYNSO, FEFA",3008
Herat,3211,GHORYAN,22,40,29,0,0,8,8,1,"AYNSO, FEFA",3009
Herat,3209,ADRASKAN,31,37,36,20,0,0,20,0,TEFA,3010
Herat,3215,FERSI,13,22,15,15,0,0,15,1,"TEFA, FEFA",3011
Herat,3212,OBE,24,34,27,20,0,0,20,1,"TEFA, FEFA",3012
Herat,3210,KUSHK-E-KUHNA,19,34,20,17,0,0,17,1,"TEFA, FEFA",3013
Herat,3213,KOHSAN,18,31,29,16,0,6,22,1,"TEFA, AYNSO, FEFA",3014
Herat,3214,SHINDAND,53,76,61,0,0,0,0,1,FEFA,3015
Herat,3216,CHISHT-E-SHARIF,18,22,19,15,0,0,15,1,"TEFA, FEFA",3016
Farah,3301,FARAH,39,94,58,20,0,36,56,1,"TEFA, AYNSO, FEFA",3101
Farah,3308,BAKWA,3,5,3,0,0,0,0,0,,3102
Farah,3306,BALA BULUK,16,19,16,17,0,0,17,0,TEFA,3103
Farah,3303,KHAK-E-SAFED,9,10,9,9,0,2,11,0,"TEFA, AYNSO",3104
Farah,3302,PUSHTRUD,15,19,15,17,0,4,21,1,"TEFA, AYNSO, FEFA",3105
Farah,3304,QALA-E-KAH,15,20,15,17,0,10,27,1,"TEFA, AYNSO, FEFA",3106
Farah,3305,SHIB KOH,13,18,13,0,0,10,10,1,"AYNSO, FEFA",3107
Farah,3309,LASH-E-JUWAYN,14,18,15,16,0,10,26,1,"TEFA, AYNSO, FEFA",3108
Farah,3310,GULISTAN,5,5,5,0,0,0,0,0,,3109
Farah,3311,PUR CHAMAN,35,42,35,17,0,0,17,1,"TEFA, FEFA",3110
Farah,3307,ANAR DARA,10,12,10,10,0,4,14,1,"TEFA, AYNSO, FEFA",3111
Helmand,3001,LASHKARGAH,30,80,70,20,39,0,59,1,"TEFA, ANPO, FEFA",3201
Helmand,3004,NAHR-E-SARAJ,18,51,29,15,17,0,32,1,"TEFA, ANPO, FEFA",3202
Helmand,3002,NAD ALI,15,48,20,16,7,0,23,1,"TEFA, ANPO, FEFA",3203
Helmand,3003,NAWA-E-BARAKZAYI,20,59,18,15,7,0,22,1,"TEFA, ANPO, FEFA",3204
Helmand,3008,SANGIN QALA,9,36,9,15,0,0,15,0,TEFA,3205
Helmand,3009,MUSA QALA,7,25,13,15,0,0,15,1,"TEFA, FEFA",3206
Helmand,3007,NAWZAD,3,16,4,10,0,0,10,1,"TEFA, FEFA",3207
Helmand,3005,WASHER,1,3,2,0,0,0,0,1,FEFA,3208
Helmand,3006,GARM SER,18,49,13,16,0,0,16,1,"TEFA, FEFA",3209
Helmand,3010,KAJAKI,4,13,4,0,0,0,0,0,,3210
Helmand,30XX,Baghran,0,0,0,0,0,0,0,1,FEFA,3211
Helmand,3011,REG-E-KHAN NISHIN,8,18,6,12,0,0,12,1,"TEFA, FEFA",3212
Helmand,30XX,Dishu,0,0,0,0,0,0,0,1,FEFA,3213
Kandahar,2701,KANDAHAR,33,135,96,20,40,0,60,1,"TEFA, ANPO, FEFA",3301
Kandahar,2702,ARGHANDAB,17,33,22,16,4,0,20,1,"TEFA, ANPO, FEFA",3302
Kandahar,2705,ZHIRE,20,36,27,16,0,0,16,1,"TEFA, FEFA",3303
Kandahar,2704,PANJWAYEE,23,46,24,16,0,0,16,1,"TEFA, FEFA",3304
Kandahar,2703,DAMAN,20,32,24,16,8,0,24,1,"TEFA, ANPO, FEFA",3305
Kandahar,2706,SHAH WALI KOT,10,19,8,10,0,0,10,1,"TEFA, FEFA",3306
Kandahar,2707,KHAKREZ,33,14,9,13,0,0,13,1,"TEFA, FEFA",3307
Kandahar,2710,MAIWAND,23,26,10,16,0,0,16,1,"TEFA, FEFA",3308
Kandahar,2716,REG,23,11,7,0,0,0,0,1,FEFA,3309
Kandahar,2714,SHORABAK,17,16,10,0,0,0,0,1,FEFA,3310
Kandahar,2711,SPIN BOLDAK,20,104,35,16,0,0,16,1,"TEFA, FEFA",3311
Kandahar,2708,ARGHISTAN,17,19,14,16,0,0,16,1,"TEFA, FEFA",3312
Kandahar,2713,MIYANISHIN,33,6,2,16,0,0,16,0,TEFA,3313
Kandahar,2712,NISH,10,10,4,0,0,0,0,1,FEFA,3314
Kandahar,2709,GHORAK,20,8,2,5,0,0,5,0,TEFA,3315
Kandahar,2715,MARUF,20,20,14,16,0,0,16,1,"TEFA, FEFA",3316
Nimroz,3401,ZARANJ,10,27,17,16,0,28,44,1,"TEFA, AYNSO, FEFA",3401
Nimroz,3402,KANG,10,13,11,10,0,8,18,1,"TEFA, AYNSO, FEFA",3402
Nimroz,3404,CHAR BURJAK,11,18,13,12,0,0,12,1,"TEFA, FEFA",3403
Nimroz,3403,ASL-E-CHAKHANSUR,12,14,12,0,0,8,8,1,"AYNSO, FEFA",3404
Nimroz,3405,KHASHROD,8,10,9,0,0,6,6,0,AYNSO,3405
Laghman,706,BADPAKH,1,1,1,0,0,0,0,1,FEFA,
Panjshir,808,ABSHAR,11,13,9,10,0,0,10,1,"TEFA, FEFA",
Paktya,1312,LAJA MANGAL,14,20,14,16,0,0,16,1,"TEFA, FEFA",
Paktya,1313,MEERZAKA,9,13,9,10,12,0,22,1,"TEFA, ANPO, FEFA",
Urozgan,2506,CHENARTO,4,12,5,0,2,0,2,1,"ANPO, FEFA",
Kandahar,2717,DAND,20,36,27,16,8,0,24,1,"TEFA, ANPO, FEFA",
Kandahar,2718,TAKHTA PUL,11,39,36,0,0,0,0,1,FEFA,
Helmand,3014,MARJA,14,33,14,0,7,0,7,1,"ANPO, FEFA",
Nimroz,3406,DELARAM,11,14,11,0,0,0,0,1,FEFA,
