Province,District,PollingCenter,provId,distId,PC Code,psId,TotalVoters,TotalMale,TotalFemale,Kochi,Gender,PS #,voters
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-03,3611,2461,1150,1,M,03,400
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-04,3611,2461,1150,1,M,04,400
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-05,3611,2461,1150,1,M,05,400
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-06,3611,2461,1150,1,M,06,231
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-07,3611,2461,1150,1,M,07,230
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-08,3611,2461,1150,1,F,08,400
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-09,3611,2461,1150,1,F,09,375
KABUL,Nahia 02,Ansari High School,01,010102,0101019,0101019-10,3611,2461,1150,1,F,10,375
KABUL,Nahia 02,Ranga Mosque,01,010102,0101020,0101020-01,1186,953,233,0,M,01,400
KABUL,Nahia 02,Ranga Mosque,01,010102,0101020,0101020-02,1186,953,233,0,M,02,277
KABUL,Nahia 02,Ranga Mosque,01,010102,0101020,0101020-03,1186,953,233,0,M,03,276
KABUL,Nahia 02,Ranga Mosque,01,010102,0101020,0101020-04,1186,953,233,0,F,04,233
KABUL,Nahia 02,Trade technical Institute (Institute Maslaki Teja),01,010102,0101021,0101021-01,1682,1447,235,4,M,01,400
KABUL,Nahia 02,Trade technical Institute (Institute Maslaki Teja),01,010102,0101021,0101021-02,1682,1447,235,4,M,02,400
KABUL,Nahia 02,Trade technical Institute (Institute Maslaki Teja),01,010102,0101021,0101021-03,1682,1447,235,4,M,03,324
KABUL,Nahia 02,Trade technical Institute (Institute Maslaki Teja),01,010102,0101021,0101021-04,1682,1447,235,4,M,04,323
KABUL,Nahia 02,Trade technical Institute (Institute Maslaki Teja),01,010102,0101021,0101021-05,1682,1447,235,4,F,05,235
KABUL,Nahia 02,Zyarat Abul Fazal,01,010102,0101022,0101022-01,1082,998,84,14,M,01,400
KABUL,Nahia 02,Zyarat Abul Fazal,01,010102,0101022,0101022-02,1082,998,84,14,M,02,299
KABUL,Nahia 02,Zyarat Abul Fazal,01,010102,0101022,0101022-03,1082,998,84,14,M,03,299
KABUL,Nahia 02,Zyarat Abul Fazal,01,010102,0101022,0101022-04,1082,998,84,14,F,04,84
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-01,2261,1964,297,10,M,01,400
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-02,2261,1964,297,10,M,02,400
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-03,2261,1964,297,10,M,03,400
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-04,2261,1964,297,10,M,04,382
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-05,2261,1964,297,10,M,05,382
KABUL,Nahia 02,Isteqlal High School,01,010102,0101023,0101023-06,2261,1964,297,10,F,06,297
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-01,3408,2548,860,7,M,01,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-02,3408,2548,860,7,M,02,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-03,3408,2548,860,7,M,03,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-04,3408,2548,860,7,M,04,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-05,3408,2548,860,7,M,05,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-06,3408,2548,860,7,M,06,274
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-07,3408,2548,860,7,M,07,274
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-08,3408,2548,860,7,F,08,400
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-09,3408,2548,860,7,F,09,230
KABUL,Nahia 02,Nayeb Salar Mosque,01,010102,0101024,0101024-10,3408,2548,860,7,F,10,230
KABUL,Nahia 02,Imam Azam Mosque,01,010102,0101025,0101025-01,1342,773,569,2,M,01,387
KABUL,Nahia 02,Imam Azam Mosque,01,010102,0101025,0101025-02,1342,773,569,2,M,02,386
KABUL,Nahia 02,Imam Azam Mosque,01,010102,0101025,0101025-03,1342,773,569,2,F,03,285
