provId,id,name,totalVoters,geoId
21,210104,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),12083,2101
21,210105,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),20707,2101
21,210106,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),8987,2101
21,210107,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),14544,2101
21,210108,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),15292,2101
21,210109,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),9299,2101
21,210110,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),17866,2101
22,2201,PROVINCIAL CAPITAL OF SAR-E-PUL ( SAR-E-PUL ),50578,2201
22,2202,SAYAD,7063,2202
22,2204,SOZMA QALA,6460,2204
22,2205,SANGCHARAK,28609,2205
22,2206,GOSFANDI,17523,2206
22,2207,BALKHAB,30715,2207
23,2301,PROVINCIAL CAPITAL OF GHOR ( CHIGHCHERAN ),72451,2301
23,2302,DULEENA,16590,2302
23,2303,DAWLATYAR,26185,2303
23,2304,CHAR SADA,6536,2304
23,2305,PASABAND,5042,2305
23,2306,SHAHRAK,29421,2306
23,2307,LAL WA SARJANGAL,42566,2307
23,2308,TAYWARA,22132,2308
23,2309,TULAK,22100,2309
23,2310,SAGHAR,7210,2310
24,2401,PROVINCIAL CAPITAL OF DAYKUNDI ( NILI ),19042,2401
24,2402,SHAHRISTAN,27361,2402
24,2403,GIZAB,11385,2409
24,2404,ISHTERLAI,17590,2403
24,2405,KHEDIR,17775,2404
24,2406,GETI,20980,2405
24,2407,MIRAMOR,29057,2406
24,2408,SANG-E-TAKHT,17126,2407
24,2409,KEJRAN,12842,2408
25,2501,PROVINCIAL CAPITAL OF UROZGAN ( TIRINKOT ),31673,2501
25,2502,DEHRAOUD,13723,2502
25,2503,CHORA,9878,2503
25,2504,SHAHID-E-HASSAS,18,2504
25,2506,CHINARTO,1660,2507
25,2507,GIZAB,6693,2506
26,2601,PROVINCIAL CAPITAL OF ZABUL ( QALAT ),31380,2601
26,2602,TARANK WA JALDAK,5681,2602
26,2603,SHINKAI,4166,2603
26,2604,MIZAN,2108,2604
26,2605,ARGHANDAB,405,2605
26,2606,SHAH JOI,15495,2606
26,2608,ATGHAR,1482,2608
26,2609,NAW BAHAR,681,2609
26,2610,SHEMEL ZAYI,5091,2610
27,2702,ARGHANDAB,25316,2702
27,2703,DAMAN,20452,2703
27,2704,PANJWAYEE,26385,2704
27,2705,ZHIRE,31217,2705
27,2706,SHAH WALI KOT,4919,2706
27,2707,KHAKREZ,482,2707
27,2708,ARGHISTAN,9679,2708
27,2709,GHORAK,585,2709
27,2710,MAIWAND,8675,2710
27,2711,SPIN BOLDAK,103299,2711
27,2712,NESH,511,2712
27,2713,MIYANISHIN,1003,2713
27,2714,SHORABAK,348,2714
27,2716,REG (SHIGA),319,2716
27,2717,DAND,25908,2717
27,2718,TAKHTA PUL,12222,2718
27,270101,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),55401,2701
27,270102,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),50008,2701
27,270103,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),8760,2701
27,270104,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),48799,2701
27,270105,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),6713,2701
27,270106,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),8221,2701
27,270107,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),13805,2701
27,270108,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),12984,2701
27,270109,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),29486,2701
27,270110,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),47315,2701
27,270113,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),5755,2701
28,2801,PROVINCIAL CAPITAL OF JAWZJAN ( SHEBERGHAN ),64129,2801
28,2802,KHWAJA DUKOH,12812,2802
28,2803,KHANAQA,2678,2803
28,2804,MINGAJIK,821,2804
28,2805,QUSH TEPA,2622,2805
28,2806,KHAMYAB,115,2806
28,2807,AQCHAH,12085,2807
28,2808,FAIZABAD,5001,2808
28,2809,MARDYAN,111,2809
28,2810,QARQIN,2319,2810
28,2811,DARZAB,693,2811
29,2901,PROVINCIAL CAPITAL OF FARYAB ( MAIMANA ),48898,2901
29,2902,PASHTUN KOT,20772,2902
29,2903,KHWAJA SABZPOSH,2009,2903
29,2904,ALMAR,10686,2904
29,2905,BIL CHIRAGH,14925,2905
29,2906,SHIRIN TAGAB,3701,2906
29,2907,QAISAR,41543,2907
29,2908,GURZIWAN,16392,2908
29,2909,DAWLAT ABAD,5419,2909
29,2910,KOHISTAN,1185,2910
29,2911,QARAM QUL,7373,2911
29,2912,QURGHAN,11571,2912
29,2913,ANDKHOY,25449,2913
29,2914,KHANI CHARBAGH,10287,2914
30,3001,PROVINCIAL CAPITAL OF HELMAND (LASHKARGAH),168193,3001
30,3002,NAD ALI,41532,3002
30,3003,NAWA-E-BARIKZAYI,38036,3003
30,3004,NAHR-E-SARAJ,49674,3004
30,3005,WASHER,4069,3005
30,3006,GARM SER,9301,3006
30,3008,SANGIN QALA,1675,3008
30,3010,KAJAKI,641,3010
30,3014,MARJA,10146,3014
30,3015,NAWAMISH,8899,3015
31,3101,PROVINCIAL CAPITAL OF BADGHIS ( QALA-E-NOW ),32256,3101
31,3102,AB KAMARI,13697,3102
31,3103,MUQUR,4359,3103
31,3104,QADIS,5227,3104
31,3105,BALA MURGHAB,16450,3105
31,3106,JAWAND,16975,3106
31,3107,GHORMACH,12407,3107
32,3202,ENJIL,72254,3202
32,3203,NIZAM-E-SHAHID (GUZARA),57009,3203
32,3204,KARRUKH,29832,3204
32,3205,ZENDAJAN,15899,3205
32,3206,PASHTUN ZARGHUN,19811,3206
32,3207,KUSHK (RUBAT-E-SANGI),34992,3207
32,3208,GULRAN,5635,3208
32,3209,ADRASKAN,7557,3209
32,3210,KUSHK-E-KUHNA,15739,3210
32,3211,GHORYAN,35287,3211
32,3212,OBE,11642,3212
32,3213,KOHSAN,27209,3213
32,3214,SHINDAND,9681,3214
32,3215,FERSI,3519,3215
32,3216,CHISHT-E-SHARIF,2848,3216
32,3219,KOHE ZOR,1098,3219
32,3220,ZAWOL,3317,3220
32,320101,PROVINCIAL CAPITAL OF HERAT (HERAT),14003,3201
32,320102,PROVINCIAL CAPITAL OF HERAT (HERAT),4957,3201
