id,name,distId,provId,distName,voters_total,stations_total,voters_male,stations_male,stations_male-400-count,stations_male-400,stations_male-400-none,station_male-last-a,station_male-last-b,voters_female,stations_female,stations_female-400-count,stations_female-400,stations_female-400-none,station_female-last-a,station_female-last-b
101131,Khushal Khan High School,010107,1,Nahia 07,2131,6,1826,5,3,3X400,2,313,313,305,1,0,,1,305,0
101132,Guzargah Girls Secondary School,010107,1,Nahia 07,2759,8,1766,5,3,3X400,2,283,283,993,3,1,1X400,2,297,296
101133,Guzargah Girls High School,010107,1,Nahia 07,503,2,301,1,0,,1,301,0,202,1,0,,1,202,0
101134,Habibia Girls High School,010107,1,Nahia 07,5035,14,4010,11,9,9X400,2,205,205,1025,3,1,1X400,2,313,312
101135,Ayub Khan Mosque,010107,1,Nahia 07,1436,5,954,3,1,1X400,2,277,277,482,2,0,,2,241,241
101136,Sardar e Kabuli Girls High School,010107,1,Nahia 07,7748,20,4156,11,9,9X400,2,278,278,3592,9,7,7X400,2,396,396
101137,Mohammadia Mosque,010107,1,Nahia 07,1671,5,999,3,1,1X400,2,300,299,672,2,0,,2,336,336
101138,Ataullah Faizani Secondary School,010107,1,Nahia 07,1400,4,798,2,0,,2,399,399,602,2,0,,2,301,301
101139,Deh Dana Girls High School,010107,1,Nahia 07,4981,14,2963,8,6,6X400,2,282,281,2018,6,4,4X400,2,209,209
101140,Mehrabuddin High School,010107,1,Nahia 07,5703,15,3988,10,8,8X400,2,394,394,1715,5,3,3X400,2,258,257
101141,Abdul Rahman e Pazhwak High School,010108,1,Nahia 08,5982,16,4218,11,9,9X400,2,309,309,1764,5,3,3X400,2,282,282
101142,Zabihullah Esmati High School,010108,1,Nahia 08,3248,9,2108,6,4,4X400,2,254,254,1140,3,1,1X400,2,370,370
101143,Hazrat Bilal Mosque,010108,1,Nahia 08,1714,5,1142,3,1,1X400,2,371,371,572,2,0,,2,286,286
101144,Zakhil wa Mohmand Mosque,010108,1,Nahia 08,3478,9,2334,6,4,4X400,2,367,367,1144,3,1,1X400,2,372,372
101145,Huzoor Hazrat Nabi Mosque,010108,1,Nahia 08,2884,8,2313,6,4,4X400,2,357,356,571,2,0,,2,286,285
101146,Hazarat Bilal Mosque,010108,1,Nahia 08,1444,5,906,3,1,1X400,2,253,253,538,2,0,,2,269,269
101147,Omer Farooq Mosque,010108,1,Nahia 08,1477,4,1078,3,1,1X400,2,339,339,399,1,0,,1,399,0
101148,Ahmadi Mosque,010108,1,Nahia 08,4083,11,2927,8,6,6X400,2,264,263,1156,3,1,1X400,2,378,378
101149,Ghaws Azam Dastagir Mosque,010108,1,Nahia 08,2296,7,1736,5,3,3X400,2,268,268,560,2,0,,2,280,280
101150,Abdul Qader Jailani Mosque,010108,1,Nahia 08,2656,8,1762,5,3,3X400,2,281,281,894,3,1,1X400,2,247,247
101151,Sayed Noor Mohammad Shah Mohamad,010108,1,Nahia 08,5766,15,4600,12,10,10X400,2,300,300,1166,3,1,1X400,2,383,383
101152,Totya High School,010108,1,Nahia 08,3521,10,1844,5,3,3X400,2,322,322,1677,5,3,3X400,2,239,238
101153,Sayed Noor Mohammad Shah Mena Girls,010108,1,Nahia 08,3404,10,2193,6,4,4X400,2,297,296,1211,4,2,2X400,2,206,205
101154,Rahman Mena Girls High School,010108,1,Nahia 08,7315,19,4621,12,10,10X400,2,311,310,2694,7,5,5X400,2,347,347
101155,Sayed Noor Mohammad Shah Mena Boy,010108,1,Nahia 08,2690,8,1702,5,3,3X400,2,251,251,988,3,1,1X400,2,294,294
101156,Ranga Mosque,010108,1,Nahia 08,2226,7,1714,5,3,3X400,2,257,257,512,2,0,,2,256,256
101157,Abdul Hai Habibi High School,010108,1,Nahia 08,4408,12,3043,8,6,6X400,2,322,321,1365,4,2,2X400,2,283,282
101158,Abubakar Sedique Mosque,010108,1,Nahia 08,2516,7,1765,5,3,3X400,2,283,282,751,2,0,,2,376,375
101159,Usman Ghani Mosque,010108,1,Nahia 08,2878,9,2007,6,4,4X400,2,204,203,871,3,1,1X400,2,236,235
101160,Shah Pacha Mosque,010108,1,Nahia 08,1214,4,779,2,0,,2,390,389,435,2,0,,2,218,217
101161,Sarak e Awal Mosque,010108,1,Nahia 08,3130,9,2104,6,4,4X400,2,252,252,1026,3,1,1X400,2,313,313
101162,Shahrak e Telayee Mosque,010108,1,Nahia 08,1839,6,1246,4,2,2X400,2,223,223,593,2,0,,2,297,296
