IEC ID,AGCHO_ID,ps_total,pc_total,lat,long,dist_name,prov_name,ANPO_obs_count,AYNSO_obs_count,FEFA_obs_count,TEFA_obs_count,NLO_obs_count,Total_Observers
1006,1004,72,28,66.9304617968,34.4220582021,Panjab,Bamyan,0,0,31,0,14,45
1007,1007,117,48,66.9733326512,34.1513849384,Waras,Bamyan,0,0,50,0,7,57
1101,1101,243,50,68.4366685804,33.5342331224,Ghazni,Ghazni,46,0,78,0,0,124
1102,1103,5,1,68.298941186,33.5590456509,Wali Muhammad-e- Shahid,Ghazni,0,0,0,0,0,0
1103,1102,13,4,68.4221508546,33.6755617073,Khwaja Umari,Ghazni,6,0,6,0,0,12
1104,1104,21,5,68.2119533405,33.4091274599,Waghaz,Ghazni,0,0,0,0,0,0
1105,1106,29,9,68.6527661089,33.4749280813,Deh Yak,Ghazni,7,0,11,0,0,18
1106,1109,62,18,68.068518036,33.5282177265,Jaghatu,Ghazni,0,0,22,0,0,22
1107,1105,83,28,68.4479595404,33.3055525661,Andar,Ghazni,0,0,29,0,0,29
1108,1107,8,2,68.6659037375,33.6791600533,Zana Khan,Ghazni,0,0,0,0,0,0
1109,1108,10,3,68.1475875098,33.6975790848,Rashidan,Ghazni,0,0,3,0,0,3
1110,1112,90,33,67.7405775367,33.8457593255,Nawur,Ghazni,0,0,26,0,0,26
1111,1110,122,45,67.9874020851,33.2209793191,Qarabagh,Ghazni,7,0,41,0,0,48
1112,1111,5,1,68.3458930883,33.0630995401,Giro,Ghazni,0,0,0,0,0,0
1113,1115,18,7,68.0636273142,32.88349853,Ab Band,Ghazni,0,0,0,0,0,0
1114,1113,140,36,67.4638357288,33.1434049414,Jaghuri,Ghazni,8,0,41,0,0,49
1115,1114,38,11,67.781802104,32.9403461157,Muqur,Ghazni,0,0,0,0,0,0
1116,1117,83,27,67.2432254682,33.2983640389,Malestan,Ghazni,0,0,23,0,0,23
1117,1118,24,6,67.6545526611,32.7133842114,Gelan,Ghazni,0,0,0,0,0,0
1118,1116,9,1,67.1088549928,33.5157311224,Ajrestan,Ghazni,0,0,0,0,0,0
1201,2501,100,27,68.7284972407,33.2001769836,Sharan,Paktika,21,0,56,0,0,77
1202,2502,32,10,68.8861115302,33.2970484314,Mata Khan,Paktika,3,0,18,0,0,21
1203,2503,27,7,68.6457448789,33.0499346519,Yosuf Khel,Paktika,4,0,15,0,0,19
1204,2506,30,10,68.6623510009,32.9230756279,Yahya Khel,Paktika,4,0,17,0,0,21
1205,2504,38,14,69.0389449024,33.0630586464,Sar Hawzeh(Rawzeh),Paktika,4,0,21,0,0,25
