unit,agcho_prov,agcho_dist,agcho_prov_id,agcho_dist_id,iec_dist,iec_prov,iec_prov_id,iec_dist_id,iec_id,agcho_dist_id_fix,iec_id_fix
District,Kunar,Wata Pur,13,1302,WATAPOOR,KUNAR,15,3,1503,1302,1503
District,Kunar,Narang,13,1303,NARANG,KUNAR,15,4,1504,1303,1504
District,Kunar,Sarkani,13,1304,SAR KANI,KUNAR,15,5,1505,1304,1505
District,Kunar,Marawara,13,1305,MARA WARA,KUNAR,15,2,1502,1305,1502
District,Kunar,Shigal wa shel tan,13,1306,SHIGAL WA SHI,KUNAR,15,6,1506,1306,1506
District,Kunar,Dara-e-Pech,13,1307,DARA-E-PECH,KUNAR,15,7,1507,1307,1507
District,Kunar,Chawkay,13,1308,SAWKAI,KUNAR,15,9,1509,1308,1509
District,Kunar,Khas Kunar,13,1309,KHAS KUNAR,KUNAR,15,10,1510,1309,1510
District,Kunar,Dangam,13,1310,DANGAM,KUNAR,15,12,1512,1310,1512
District,Kunar,Bar Kunar,13,1311,BAR KUNAR,KUNAR,15,8,1508,1311,1508
District,Kunar,Ghazi Abad,13,1312,GHAZI ABAD,KUNAR,15,11,1511,1312,1511
District,Kunar,Chapa Dara,13,1313,CHAPA DARA,KUNAR,15,13,1513,1313,1513
District,Kunar,Nurgal,13,1314,NOOR GAL,KUNAR,15,14,1514,1314,1514
District,Kunar,Nari,13,1315,NARI,KUNAR,15,15,1515,1315,1515
Provincial_Center,Nuristan,Poruns,14,1401,PAROON,NOORISTAN,16,1,1601,1401,1601
District,Nuristan,Mandol,14,1402,MANDOL,NOORISTAN,16,7,1607,1402,1607
District,Nuristan,Du Ab,14,1403,DUAB,NOORISTAN,16,5,1605,1403,1605
District,Nuristan,Nurgaram,14,1404,NOOR GRAM,NOORISTAN,16,4,1604,1404,1604
District,Nuristan,Wama,14,1405,WAMA,NOORISTAN,16,3,1603,1405,1603
District,Nuristan,Waygal,14,1406,WAYGAL,NOORISTAN,16,2,1602,1406,1602
District,Nuristan,Kamdesh,14,1407,KAMDESH,NOORISTAN,16,6,1606,1407,1606
District,Nuristan,Barg-e- Matal,14,1408,BARG-E-MATAL,NOORISTAN,16,8,1608,1408,1608
Provincial_Center,Badakhshan,Faiz Abad,15,1501,FAIZ ABAD,BADAKHSHAN,17,1,1701,1501,1701
District,Badakhshan,Yaftal-e-Sufla,15,1502,YAFTAL-E-SUFLA,BADAKHSHAN,17,4,1704,1502,1704
District,Badakhshan,Argo,15,1503,ARGO,BADAKHSHAN,17,2,1702,1503,1702
District,Badakhshan,Arghanj Khwa,15,1504,ARGHANJ KHWA,BADAKHSHAN,17,3,1703,1504,1703
District,Badakhshan,Kohistan,15,1505,KOHISTAN,BADAKHSHAN,17,8,1708,1505,1708
District,Badakhshan,Raghistan,15,1506,RAGISTAN,BADAKHSHAN,17,14,1714,1506,1714
District,Badakhshan,Yawan,15,1507,YAWAN,BADAKHSHAN,17,9,1709,1507,1709
District,Badakhshan,Shahr-e-Buzorg,15,1508,SHAHR-E-BUZURG,BADAKHSHAN,17,13,1713,1508,1713
District,Badakhshan,Teshkan,15,1509,TASHKAN,BADAKHSHAN,17,11,1711,1509,1711
District,Badakhshan,Darayem,15,1510,DARAYIM,BADAKHSHAN,17,7,1707,1510,1707
District,Badakhshan,Khash,15,1511,KHASH,BADAKHSHAN,17,5,1705,1511,1705
District,Badakhshan,Baharak,15,1512,BAHARAK,BADAKHSHAN,17,6,1706,1512,1706
District,Badakhshan,Shuhada,15,1513,SHUHADA,BADAKHSHAN,17,12,1712,1513,1712
District,Badakhshan,Shighnan,15,1514,SHIGHNAN,BADAKHSHAN,17,19,1719,1514,1719
District,Badakhshan,Darwaz-e-Balla,15,1515,DARWAZ-E-BAL,BADAKHSHAN,17,27,1727,1515,1727
District,Badakhshan,Kof Ab,15,1516,KUFAB,BADAKHSHAN,17,21,1721,1516,1721
District,Badakhshan,Khwahan,15,1517,KHWAHAN,BADAKHSHAN,17,20,1720,1517,1720
District,Badakhshan,Keshem,15,1518,KISHM,BADAKHSHAN,17,15,1715,1518,1715
District,Badakhshan,Tagab,15,1519,TAGAB,BADAKHSHAN,17,17,1717,1519,1717
District,Badakhshan,Yamgan,15,1520,YAMGAN,BADAKHSHAN,17,18,1718,1520,1718
District,Badakhshan,Jorm,15,1521,JURM,BADAKHSHAN,17,10,1710,1521,1710
District,Badakhshan,Warduj,15,1522,WARDOOJ,BADAKHSHAN,17,16,1716,1522,1716
District,Badakhshan,Ishkashem,15,1523,ESHKASHIM,BADAKHSHAN,17,23,1723,1523,1723
District,Badakhshan,Darwaz,15,1524,DARWAZ-E-PAY,BADAKHSHAN,17,22,1722,1524,1722
District,Badakhshan,Shaki,15,1525,SHIKI,BADAKHSHAN,17,24,1724,1525,1724
District,Badakhshan,Koran wa Monjan,15,1526,KIRAN WA MENJAN,BADAKHSHAN,17,26,1726,1526,1726
District,Badakhshan,Zebak,15,1527,ZEBAK,BADAKHSHAN,17,25,1725,1527,1725
District,Badakhshan,Wakhan,15,1528,WAKHAN,BADAKHSHAN,17,28,1728,1528,1728
Provincial_Center,Takhar,Taloqan,16,1601,TALUQAN,TAKHAR,18,1,1801,1601,1801
District,Takhar,Hazar Sumuch,16,1602,HAZAR SUMUC,TAKHAR,18,2,1802,1602,1802
District,Takhar,Baharak,16,1603,BAHARAK,TAKHAR,18,3,1803,1603,1803
District,Takhar,Bangi,16,1604,BANGI,TAKHAR,18,4,1804,1604,1804
District,Takhar,Chal,16,1605,CHAL,TAKHAR,18,5,1805,1605,1805
