Long,Lat,ps_male,pc_name,PC-number,province,ps_total,district,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
68.58471309000001,33.34119207000002,2,Changah Village Mosque,1107243,Ghazni,2,Andar,0,Changah Village,11,Village,7
67.52268259000002,33.75052779,2,Aama Chali Village Mosque,1110266,Ghazni,3,Nawur,1,Chal Village,11,Village,10
67.40937605000002,33.73986585000006,2,Baqir-Ul-Ulom Madrass,1110267,Ghazni,3,Nawur,1,Dahana-E-Ghaundi Village,11,Building,10
67.46808849000006,33.95401535000007,1,Jahan Noma High School,1110275,Ghazni,2,Nawur,1,Shenia Village,11,Building,10
68.09607772000003,33.09791799000003,0,Mollah Faqir Mosque,1111143,Ghazni,2,Qara Bagh,2,Malang Khel Village,11,Village,11
67.26873821000001,33.11032360000006,3,Pushi School,1114327,Ghazni,5,Jaghuri,2,Chahel Baghto Pashi Village,11,Building,14
67.64096381000006,33.33001777,2,Shughla Public School,1114347,Ghazni,3,Jaghuri,1,Shughla Village,11,Building,14
67.44858496000005,33.02235071000005,1,3 Qul Secondary School,1114348,Ghazni,2,Jaghuri,1,Suba Gharbeeda Village,11,Building,14
67.76793346000004,32.821204850000065,1,Disrtict Compound,1115371,Ghazni,2,Muqur,1,Muqur District Center,11,Building,15
68.74701403000005,33.230694210000024,4,Primary School,1201005,Paktika,4,Sharan,0,Maswas,12,Building,1
68.78634792000007,33.14912383000004,0,Dagir Guest House,1201014,Paktika,4,Sharan,4,Spavani,12,Village,1
68.77282480000005,33.22241883000002,4,Primary School,1201015,Paktika,4,Sharan,0,Kari Khel,12,Village,1
68.85793451000005,33.268025180000045,2,Mata Khan High School,1202283,Paktika,2,Mata Khan,0,Mata Khan Bazaar,12,Building,2
68.67484670000002,33.066750720000066,4,Bazi Wani Mosque,1203039,Paktika,4,Yosuf Khel,0,Yousuf Khel Markaz,12,Building,3
68.71529469000004,33.09132904000005,3,Malang Guest House,1203046,Paktika,5,Yosuf Khel,2,Parak Village,12,Village,3
68.64568014000007,32.93523768000004,3,Noor Mohammad Guest Houes,1204047,Paktika,3,Yahya Khel,0,Yahya Khel,12,Village,4
68.60267723000003,32.87054977000002,2,Ahmad Khan Guest House,1204064,Paktika,4,Yahya Khel,2,Peyawi,12,Village,4
69.05202326000004,33.06538215000005,4,Edgah Mosque,1205073,Paktika,4,Sar Rawza,0,Madaji,12,District,5
68.97114213000002,33.06422420000005,0,Malik Zahir Guest House,1205078,Paktika,3,Sar Rawza,3,Sultani,12,Village,5
68.97568611000005,33.10285277000002,0,District Compound (Tent),1205079,Paktika,3,Sar Rawza,3,Sar Rawza District,12,Building,5
