id,name,distId,provId,estimatedVoters,psTotal,psFemale,psMale,psKuchi
1403048,"Khosh Dara School, Khosh Dara",1515,15,2400,4,2,2,0
1403052,"Chatraaq School, Chatraaq",1515,15,900,2,1,1,0
1403059,"School, Boyeena Qara",1515,15,2500,5,2,3,0
1403041,Kari School,1515,15,3100,6,3,3,0
1403058,"Boyeena Qara School, Boyeena Qara",1515,15,1500,3,1,2,0
1403047,"Qadam School, Qadam",1515,15,2000,4,2,2,0
1403061,Toroq School,1515,15,1900,4,2,2,0
1403043,"Khwaja Ashteel School, Khwaja Ashteel",1515,15,2500,5,2,3,0
1404071,"Harefaan High School, Baagh Sufi",1516,15,3000,5,2,3,0
1404069,"Do Aaba School, Mughul Tayee",1516,15,3600,6,3,3,0
1404068,"Sahibuddin Yard / Roi Dasht Mosque, Roi Dasht",1516,15,2200,4,2,2,0
1404064,"Sadaat High School, Langar",1516,15,3000,5,2,3,0
1404062,"Zamanuddin Yard / Haji Habibullah Yard, Deh Bazaar",1516,15,3000,5,2,3,0
1404066,"Neem Tala Mosque, Neem Tala",1516,15,1500,3,1,2,0
1404067,"Quraishi Mosque, Quraishi",1516,15,1700,3,1,2,0
1404065,"Pangaani School / Pangaani Mosque, Pangaani",1516,15,2400,4,2,2,0
1404072,"Do Aaba School, Do Aab",1516,15,2000,4,2,2,0
1404063,"Madeena High School, Fazelaan Village",1516,15,1800,3,1,2,0
1404070,"Yamchayn School, Yamchayn",1516,15,1900,4,2,2,0
1427267,"School, Tang Shio",1517,15,900,2,1,1,0
1427262,"School, Jashtak",1517,15,1500,3,1,2,0
1427264,Jamurch School,1517,15,1200,2,1,1,0
1427265,"School, Ghamai",1517,15,1000,2,1,1,0
1427261,"Religious School, Charbagh",1517,15,4000,7,3,4,0
1427263,"School, Warfaad",1517,15,1500,3,1,2,0
1427266,"School, Waro",1517,15,900,2,1,1,0
1405074,"Ghulam Mohammad School, Deh Paara",1518,15,1800,3,1,2,0
