distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
901,9,1398,2019-2020,Baghlan,1,provincial Capital (Pul-i-Khumri),56896,60225,117121,60000,60767,120767,116896,120992,237888,exact
902,9,1398,2019-2020,Baghlan,2,Dahana-e-Ghuri,30927,32661,63588,882,989,1871,31809,33650,65459,exact
903,9,1398,2019-2020,Baghlan,3,Dushi,36278,38017,74295,,,,36278,38017,74295,exact
904,9,1398,2019-2020,Baghlan,4,Nahreen,34712,36580,71292,2790,2968,5758,37502,39548,77050,exact
905,9,1398,2019-2020,Baghlan,5,Baghlan-e- Jadeed,57157,59572,116729,39431,38298,77729,96588,97870,194458,exact
906,9,1398,2019-2020,Baghlan,6,Khinjan,16573,17245,33818,,,,16573,17245,33818,exact
907,9,1398,2019-2020,Baghlan,7,Andarab,13832,14501,28333,,,,13832,14501,28333,exact
908,9,1398,2019-2020,Baghlan,8,Deh Salah,17094,18420,35514,,,,17094,18420,35514,exact
909,9,1398,2019-2020,Baghlan,9,Khwaja hejran (Jalga ),12788,13717,26505,,,,12788,13717,26505,exact
910,9,1398,2019-2020,Baghlan,10,Burka,28449,30047,58496,,,,28449,30047,58496,exact
911,9,1398,2019-2020,Baghlan,11,Tala Wa Barfak,16182,17375,33557,,,,16182,17375,33557,exact
912,9,1398,2019-2020,Baghlan,12,Pul –e-Hisar,14746,15938,30684,,,,14746,15938,30684,exact
913,9,1398,2019-2020,Baghlan,13,Khost Wa Firing,34059,36057,70116,,,,34059,36057,70116,exact
914,9,1398,2019-2020,Baghlan,14,Gozargah-e- S.Noor,5350,5879,11229,,,,5350,5879,11229,exact
915,9,1398,2019-2020,Baghlan,15,Firing Wa Gharu,9005,9407,18412,,,,9005,9407,18412,exact
1001,10,1398,2019-2020,Bamyan,1,provincial Capital (Bamyan ),39411,39323,78734,7328,7066,14394,46739,46389,93128,exact
1002,10,1398,2019-2020,Bamyan,2,Shebar,15790,16984,32774,,,,15790,16984,32774,exact
1003,10,1398,2019-2020,Bamyan,3,Saighan,13050,13587,26637,,,,13050,13587,26637,exact
1004,10,1398,2019-2020,Bamyan,4,Kahmard,19704,20641,40345,,,,19704,20641,40345,exact
1005,10,1398,2019-2020,Bamyan,5,Yakawlang,33408,34228,67636,,,,33408,34228,67636,exact
1006,10,1398,2019-2020,Bamyan,6,Panjab,37453,38278,75731,,,,37453,38278,75731,exact
1007,10,1398,2019-2020,Bamyan,7,Waras,59637,61531,121168,,,,59637,61531,121168,exact
1008,10,1398,2019-2020,Bamyan,8,Yakawlang S.No 2,14354,15155,29509,,,,14354,15155,29509,exact
1101,11,1398,2019-2020,Ghazni,1,provincial Capital(Ghazni),56897,58789,115686,33589,33776,67365,90486,92565,183051,exact
1102,11,1398,2019-2020,Ghazni,2,Wali M. Shahid (khugyani),10831,11497,22328,,,,10831,11497,22328,exact
1103,11,1398,2019-2020,Ghazni,3,Khwaja Omari,10440,10582,21022,,,,10440,10582,21022,exact
1104,11,1398,2019-2020,Ghazni,4,Waghaz,20749,22078,42827,,,,20749,22078,42827,exact
