station_id,polling_id,delta,Ashraf Ghani Ahmadzai,Dr. Abdullah Abdullah,Hamed Karzai,Ramazan Bashardost,other
5095,2801029,1,0,1,3,0,0
5096,2801029,2,0,2,4,0,0
5097,2801029,3,0,2,7,1,0
5098,2801029,4,0,1,4,4,0
5099,2801029,5,0,0,2,1,0
5100,2801029,6,0,0,20,1,0
5101,2801029,7,0,1,10,0,0
5102,2801020,1,0,0,11,2,0
5103,2801020,2,1,0,6,0,0
5104,2801020,3,1,2,6,0,1
5105,2801020,4,0,0,4,3,0
5106,2801020,5,1,0,6,0,3
5107,2801020,6,0,0,29,0,0
5108,2801020,7,0,1,11,0,2
5109,2801020,8,0,1,5,0,0
5110,2801020,9,0,1,3,2,0
5111,2801020,10,0,0,9,0,0
5112,2801021,1,10,3,553,0,19
5113,2801021,2,1,3,584,0,1
5114,2801021,3,62,0,454,0,0
5115,2801021,4,31,1,463,0,0
5116,2801021,5,0,0,590,0,0
5117,2801023,1,1,8,71,0,6
5118,2801023,2,5,14,47,4,2
5119,2801023,3,0,3,176,1,0
5120,2801023,4,16,11,183,1,5
5121,2801023,5,12,5,77,4,6
5122,2801023,6,7,4,374,1,0
5123,2801024,1,50,1,132,9,2
5124,2801024,2,1,1,18,0,2
5125,2801024,3,19,17,518,0,3
5126,2801024,4,6,15,112,2,0
5127,2801024,5,19,38,208,4,8
5128,2801024,6,0,4,49,0,8
5129,2801024,7,5,7,30,1,1
5130,2801025,1,0,5,11,2,1
5131,2801025,2,0,2,9,0,0
5132,2801025,3,0,1,10,1,0
5133,2801025,4,1,1,3,0,0
5134,2801025,5,0,0,7,0,0
5135,2801025,6,0,2,9,1,1
5136,2801025,7,0,1,2,3,1
5137,2801025,8,0,0,5,0,0
5138,2801025,9,5,3,3,0,0
5139,2801025,10,1,2,1,3,0
5140,2801026,1,1,6,289,0,0
5141,2801026,2,0,1,6,0,0
5142,2801026,3,2,0,31,0,0
5143,2801026,4,7,0,3,0,0
5144,2801026,5,4,1,23,0,0
5145,2801026,6,0,1,3,0,0
5146,2801026,7,0,2,18,0,1
5147,2801026,8,0,3,3,0,0
5148,2801026,9,0,0,15,0,0
5149,2801026,10,0,0,2,0,0
5150,2801027,1,9,8,61,1,1
5151,2801027,2,5,8,55,1,1
5152,2801027,3,3,5,20,1,2
5153,2801027,4,3,3,15,1,0
5154,2801027,5,2,2,11,0,1
5155,2801027,6,0,3,24,0,1
5156,2801027,7,2,1,0,0,0
5157,2801027,8,1,0,26,0,3
5158,2801027,9,5,0,115,0,2
5159,2801027,10,2,1,10,0,3
5160,706285,1,0,0,630,0,0
5161,706285,2,0,0,600,0,0
5162,706285,3,0,0,630,0,0
5163,1422229,1,0,123,165,2,124
5164,1422229,2,0,62,133,1,72
5165,1422229,3,0,99,161,1,71
5166,1422229,4,0,7,43,0,102
5167,1422229,5,0,16,123,0,77
5168,1503044,1,2,53,254,25,33
5169,1503044,2,0,50,250,28,33
5170,1503044,3,0,40,200,33,24
5171,1503044,4,0,37,185,22,23
5172,1503044,5,0,15,151,9,52
5173,1503044,6,0,20,192,3,36
5174,1503044,7,0,42,225,10,26
5175,1503044,8,0,25,145,5,21
5176,1503045,1,0,73,162,7,25
5177,1503045,2,0,27,58,0,49
5178,1503040,1,1,40,98,9,39
5179,1503040,2,2,48,80,5,23
5180,1503040,3,0,37,51,4,40
5181,1503040,4,0,34,33,4,14
5182,1503040,5,3,114,174,26,19
5183,1503040,6,2,119,143,13,20
5184,1503040,7,1,74,118,10,21
5185,1503040,8,2,79,87,14,30
5186,1503041,1,5,58,375,14,21
5187,1503041,2,5,65,189,8,18
5188,1503041,3,2,63,359,12,19
5189,1503041,4,14,36,126,8,6
5190,1503041,5,1,37,381,0,10
5191,1503041,6,7,82,159,4,31
5192,1503041,7,2,19,267,3,12
5193,1503041,8,1,34,132,3,43
5194,1503042,1,1,38,103,22,11
5195,1503042,2,0,30,74,8,18
5196,1503042,3,1,18,93,9,16
5197,1503042,4,2,37,98,25,24
5198,1503042,5,1,25,119,4,12
5199,1503042,6,0,27,59,5,22
5200,1503042,7,0,20,152,0,7
5201,1503043,1,1,33,164,6,21
5202,1503043,2,2,41,248,4,19
5203,1503043,3,1,19,87,0,24
5204,1503043,4,1,23,89,0,27
5205,2903018,1,0,5,6,0,4
5206,2903018,2,0,1,9,0,10
5207,2903018,3,0,4,12,3,2
5208,2903018,4,1,1,17,0,7
5209,2903018,5,1,1,12,1,3
5210,2903018,6,0,0,14,0,3
5211,2903017,1,1,3,11,0,5
5212,2903017,2,1,3,7,0,6
5213,2903017,3,1,4,11,0,5
5214,2903017,4,1,0,16,0,4
5215,2903017,5,1,0,4,1,5
5216,909086,1,15,56,61,2,0
5217,909087,1,21,9,214,18,5
5218,909084,1,20,0,46,0,1
5219,909084,2,7,0,22,0,4
5220,909084,3,75,0,86,0,0
5221,909085,1,2,1,41,1,3
5222,909085,2,1,0,76,0,14
5223,909085,3,12,0,74,1,21
5224,909082,1,27,0,58,1,8
5225,909082,2,51,0,77,0,0
5226,909082,3,32,0,36,1,1
5227,909082,4,47,1,51,0,2
5228,909083,1,22,0,100,1,5
5229,909080,1,11,2,255,0,9
5230,909080,2,12,1,232,0,1
5231,909080,3,7,0,480,0,9
5232,909081,1,0,0,31,0,2
5233,909081,2,4,2,58,1,6
5234,909081,3,2,0,250,0,124
5235,909088,1,0,0,102,0,0
5236,909088,2,0,0,40,0,0
5237,909088,3,0,0,99,0,0
5238,909089,1,110,22,91,14,5
5239,1110080,1,12,0,153,0,1
5240,1110080,2,0,0,119,0,1
5241,1702203,1,1,73,46,1,6
5242,1702203,2,1,44,12,0,2
5243,1702202,1,0,19,3,1,1
5244,1702202,2,0,20,1,1,1
5245,1702202,3,0,14,0,0,2
5246,1702201,1,0,88,21,5,7
5247,1702201,2,1,145,43,5,15
5248,1702201,3,0,28,141,0,0
5249,1702201,4,0,73,63,0,0
5250,1702200,1,2,54,71,5,15
5251,1702200,2,0,34,20,1,3
5252,1702200,3,0,16,6,0,0
5253,1702200,4,3,6,6,0,0
5254,611217,1,0,0,600,0,0
5255,615321,1,0,6,36,282,3
5256,615321,2,1,6,27,298,4
5257,615321,3,0,2,20,151,1
5258,615321,4,0,13,23,276,2
5259,615321,5,0,5,20,243,1
5260,1912271,1,0,0,3,13,0
5261,1912270,1,6,13,63,3,8
5262,1912270,2,36,26,21,28,19
5263,1912273,1,0,0,20,0,1
5264,1912272,1,0,139,18,0,2
5265,1912272,2,0,114,10,0,0
5266,1912272,3,0,12,7,0,1
5267,1421228,1,0,2,7,0,0
5268,1421228,2,0,14,39,0,5
5269,1421228,3,0,13,6,0,2
5270,1421227,1,0,63,187,0,47
5271,1421227,2,0,54,280,0,286
5272,1421227,3,0,39,172,0,79
5273,1421226,1,0,61,220,0,31
5274,1421226,2,0,2,95,0,21
5275,1421226,3,0,21,67,0,13
5276,1421224,1,0,287,219,4,18
5277,1421224,2,0,217,48,0,2
5278,1421224,3,1,100,157,0,7
5279,1421224,4,0,62,17,0,1
5280,1421223,1,0,145,3,0,0
5281,1421223,2,1,138,3,0,6
5282,1421222,1,0,179,19,0,6
5283,1421222,2,0,160,3,0,2
5284,1008217,1,0,81,20,1,5
5285,1008217,2,9,55,34,0,8
5286,1008217,3,0,87,8,0,1
5287,1008217,4,0,76,19,0,1
5288,1008216,1,21,69,269,0,43
5289,1008216,2,25,93,264,3,51
5290,1008216,3,11,44,203,0,25
5291,1008216,4,71,143,89,0,9
5292,1008215,1,9,31,91,0,15
5293,1008215,2,11,19,90,0,54
5294,1008215,3,0,0,0,0,0
5295,1008215,4,0,0,0,0,0
5296,1008215,5,0,53,65,0,22
5297,1008215,6,41,7,57,0,43
5298,1008219,1,2,56,198,9,13
5299,1008219,2,3,57,76,4,6
5300,1008219,3,12,112,113,2,10
5301,1008219,4,6,55,93,3,5
5302,1008219,5,2,35,110,1,14
5303,1008218,1,0,79,202,0,0
5304,1008218,2,0,75,78,0,0
5305,1008218,3,5,29,86,0,2
5306,1008218,4,0,46,169,0,3
5307,2305179,1,0,344,4,0,0
5308,2305179,2,0,366,37,0,1
5309,1511131,1,1,167,39,6,21
5310,1511131,2,1,90,7,6,55
5311,1511130,1,13,120,44,18,106
5312,1511130,2,5,111,41,8,59
5313,1511130,3,1,28,5,9,44
5314,1511130,4,1,57,18,3,36
5315,101161,1,4,6,64,2,4
5316,101161,2,4,2,45,2,5
5317,101161,3,12,3,39,0,4
5318,101161,4,0,1,6,1,2
5319,101160,1,15,6,40,0,4
5320,101160,2,15,2,50,1,2
5321,101160,3,11,2,29,0,4
5322,101160,4,8,4,21,0,0
5323,101163,1,0,29,32,3,4
5324,101163,2,2,21,37,0,3
5325,101163,3,4,41,55,0,0
5326,101163,4,0,12,9,0,0
5327,101162,1,6,9,57,1,6
5328,101162,2,13,8,63,6,5
5329,101162,3,18,9,65,8,5
5330,101162,4,7,10,92,4,5
5331,101165,1,7,32,49,2,8
5332,101165,2,11,33,54,2,5
5333,101165,3,8,26,457,3,2
5334,101165,4,0,33,453,1,5
5335,101164,1,16,30,129,109,19
