"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Kabul",101,"now abad dehkipak,now abad dikipak sacandry sch",101060,5800,10,5,3,2
"Kabul",101,"charahi sadarat,malalay girls school",101049,4800,9,6,3,0
"Kabul",101,"charahi taymani,nasir khisrow sacandry school",101053,7200,12,8,4,0
"Kabul",101,"charahi taymani,tajoor sultana girl high school",101050,7500,13,8,3,2
"Kabul",101,"tank til shahri now,khwaja abdulah ansari masque",101069,2000,4,2,2,0
"Kabul",101,"parozha taymani,malaka suraya girls school",101062,7200,12,8,4,0
"Kabul",101," SpeenKali School located in Speen Kali Square ",101090,1000,2,1,1,0
"Kabul",101,"part(B)khoshal mina,deh now deh boori",101091,2900,5,3,2,0
"Kabul",101,"qargha,deh araban school",101082,4800,8,5,3,0
"Kabul",101,"part(A)khoshal mina,afshar girls high school",101087,6300,11,7,4,0
"Kabul",101," AbuZar Ghafari High School located in Qambar Square ",101092,1500,3,2,1,0
"Kabul",101,"afshar silo,sahib zaman maque",101072,2000,4,3,1,0
"Kabul",101,"Niswan Wahdat. ",101074,6700,12,8,4,0
"Kabul",101,"bazar company,qala kashif high school",101073,7200,11,7,4,0
"Kabul",101,"wardaki haa vilage,shaheed masque",101085,600,2,1,1,0
"Kabul",101,"qargha,shah awleya masque",101081,1500,3,2,1,0
"Kabul",101,"qala toofan,itafaq masque",101079,600,2,1,1,0
"Kabul",101,"abrasani,fazalbik sacandary school",101070,6300,11,7,4,0
"Kabul",101,"qala wahid,muhammadi paghmani haa masque",101080,1500,3,2,1,0
"Kabul",101,"part(A)khoshal mina,afshar sacandary school",101086,5800,10,6,4,0
"Kabul",101,"Changed from Haji Yaqub to Masjid Haji Syed Rahman ",101084,2400,4,0,1,3
"Kabul",101,"now abad qargha,ayob sabir masque",101076,1000,2,1,1,0
"Kabul",101,"saray herati,wadaki haa masque",101093,1500,3,2,1,0
"Kabul",101,"fazil bik,hazrat osman masque",101083,1500,3,2,1,0
"Kabul",101," Zayed Bin Haris. ",101078,3400,7,1,0,6
"Kabul",101,"sapin kalai,sapin kalai high school",101094,5700,10,7,3,0
"Kabul",101,"politechnic,politechnic masque",101077,5300,9,6,3,0
"Kabul",101," Imam Husain Masjid ",101075,2000,4,2,2,0
"Kabul",101,"part(A)khoshal mina,8class khosha mina",101088,1500,3,2,1,0
"Kabul",101,"afshar,jaghoori haa masque",101071,2000,4,2,2,0
"Kabul",101,"part(B)khoshal mina,nahid shaheed high school",101089,5800,10,6,4,0
"Kabul",101,"qala wazir,madrasa rasaalat",101123,3800,7,5,2,0
"Kabul",101,"pol sokhta,abozar ghafari masque",101114,2900,5,3,2,0
"Kabul",101,"deh qabal,gulkhana sacandary school",101100,6700,12,8,4,0
"Kabul",101,"pol wahdat,takya khana wahdat",101117,1500,3,2,1,0
"Kabul",101,"charqala,charqala high school",101095,4800,8,5,3,0
"Kabul",101,"qala nazar,khatimalanbia islamic school",101097,4800,8,5,3,0
"Kabul",101," Syed Ismail Balkhi , Qala-e-Shada. ",101115,3900,7,5,2,0
"Kabul",101,"karti 3 ,dakhshana high school",101121,4800,8,5,3,0
"Kabul",101,"pol wahdat, wahadat masque",101116,2000,4,2,2,0
"Kabul",101,"karti 3 ,muhammadia masque",101122,2900,5,3,2,0
"Kabul",101,"qala shadah,amulbanin sacandary school",101118,6300,11,7,4,0
"Kabul",101,"alowdin,jafarya masque",101111,2900,6,4,2,0
"Kabul",101,"sar aab,sar aab girls school",101108,7200,13,9,4,0
"Kabul",101,"qala ayenullah,baqiralalom islamic school",101113,3400,6,4,2,0
"Kabul",101,"now abad qala jabar khan,azarat rasool masque",101107,2900,5,3,2,0
"Kabul",101,"markaz nahia 6th,markaz nahia 6th,",101119,2000,4,3,1,0
"Kabul",101,"afshar darlaman,qala bakhtiar sacandary school",101104,8700,15,10,5,0
"Kabul",101," Literacy School of Gulkhana, Qala-e-Ali Mardan Area. ",101110,2000,4,3,1,0
"Kabul",101,"qala nazar,muhammad asaf mayal high school",101098,5700,10,6,4,0
"Kabul",101,"dash haay haaji hasan,ahmadi masque",101101,2400,4,3,1,0
"Kabul",101," Institute",101109,7200,12,8,4,0
"Kabul",101,"qala abasqali,salman farsi masque",101103,3400,6,4,2,0
"Kabul",101,"talgaraph,imam hasan mujtabaa masque",101096,2900,5,3,2,0
"Kabul",101,"qala muhammad hayat,muhammad hayat masque",101102,1500,3,2,1,0
"Kabul",101,"darlaman,tobarcloze institute",101112,3400,6,4,2,0
"Kabul",101," Masjid Ali Anaqi.",101099,1500,3,2,1,0
"Kabul",101," Masjid Amirul Momenen  which is located in Naw Abad Qalae Jabar Khan.",101106,2900,5,3,2,0
"Kabul",101,"karti 3 ,abdulghani mustaghni high school",101120,6800,12,8,4,0
"Kabul",101,"Masjid Safid ",101124,2000,4,2,2,0
"Kabul",101,"Qambar Bene Hasham Sallon, Afshar Darulaman",101105,1500,3,2,1,0
"Kabul",101,"family haaye rishkhor,family haaye rishkhor high school",101131,5000,9,6,3,0
"Kabul",101,"baghi rayes,aymani high school",101140,3700,7,4,3,0
"Kabul",101," Mohammadia Masjid located in Jai Rayes area. ",101145,2000,4,3,1,0
"Kabul",101,"aqaa ali shams cahalsitoon,sacandary aqaa ali shams school",101143,6500,11,7,4,0
"Kabul",101,"Chenee Sazi factory, Breshna Kot, Wasel Abad village",101136,1500,3,2,1,0
"Kabul",101,"guzargha, guzargha girls school",101138,3600,7,4,3,0
"Kabul",101,"Sardar kabul School",101490,3000,4,2,2,
"Kabul",101,"tani kot,ghazi adi girls school",101129,4400,8,5,3,0
"Kabul",101,"baini pol hasan wa deh dana,mihrabudin sacandary school",101126,6500,12,8,4,0
