id,name,distId,provId,lon,lat,ps_total,ps_male,ps_female
1702057,Barlaas Chenar School,1702,17,70.32949994,37.0478517,3,2,1
1704025,Naland Clinic - District Office,1704,17,70.41409324,37.28183873,4,2,2
1704026,Anar Dara School,1704,17,70.2712786600001,37.21973997,4,3,1
1704031,Keshtgaah School,1704,17,70.33566635,37.33960511,3,1,2
1704032,Shalakhzar School,1704,17,70.34956235,37.39818137,3,2,1
1705077,Tajekan Girls High School,1705,17,70.7170408700001,36.99123999,4,2,2
1705078,Durkhaan Secondary School,1705,17,70.7494541,37.02623219,4,2,2
1707063,Madina High School,1707,17,70.3481802000001,36.9304735600001,4,3,1
1707068,Naw Abaad Roy Dasht Mosque,1707,17,70.37225426,36.9031265,3,2,1
1707071,Aarifan High School,1707,17,70.47925158,36.85902402,3,2,1
1707072,Do-Aab Manji High School,1707,17,70.5294345500001,36.84420123,3,2,1
1709134,Zo School,1709,17,70.48580701,37.50666117,3,2,1
1709135,Petaaw School,1709,17,70.5098985800001,37.52152262,2,1,1
1710084,Ghulam Mohammad Khar Andab High School,1710,17,70.8390593,36.85327794,4,2,2
1713137,Khordakan High School,1713,17,70.16815296,37.31107211,4,2,2
1713138,Kura Been School,1713,17,70.17411809,37.38181749,3,2,1
1713143,Baari Kham,1713,17,70.04925382,37.3557998200001,2,1,1
1713144,Chawgani High School,1713,17,70.13734916,37.41058833,3,2,1
1715162,Wakhshi School,1715,17,70.17859775,36.8264728500001,2,1,1
1715163,Khumbak School,1715,17,70.1709358300001,36.83144968,2,1,1
1716098,Teer Garan Girls High School,1716,17,71.140130126,36.688865244,2,1,1
1719221,Chansoor Ulya High School,1719,17,71.54261771,37.7745185200001,2,1,1
1720238,Sang Aab Mosque,1720,17,70.22138848,37.8846550000001,3,2,1
1723199,Yakhdaro School,1723,17,71.5226900000001,36.85506,2,1,1
1723200,Zeech School,1723,17,71.4294805000001,37.06001627,2,1,1
1725193,Aashor Bek School,1725,17,71.3891728,36.60264288,2,1,1
1725194,Dand School,1725,17,71.3918012,36.5730477,2,1,1
1726191,Shahran Clinic,1726,17,70.90075681,35.98193043,2,1,1
1727268,Khurkad Madrassa,1727,17,70.9281079400001,38.2738718,4,3,1
1708296,Zard Noor Mosque,1708,17,70.567483963,37.4530436580001,3,2,1
1701285,Makhfi High School,1701,17,70.5854179670001,37.1247160720001,3,2,1
1702286,Gnda Chasma Secondary High School,1702,17,70.4492949510001,37.049150545,3,2,1
1711303,Pista Khor School,1711,17,70.179560896,36.970783704,3,2,1
1711304,Hazrat Abas School,1711,17,70.258990402,36.92515974,3,2,1
1713306,School,1713,17,70.036224542,37.476131366,3,2,1
1713307,Bul Bul Dara Mowque,1713,17,70.1244016140001,37.350399749,3,2,1
1716311,Sar Qalat Mosque,1716,17,71.0580292870001,36.8762343700001,3,2,1
1718314,Primary School,1718,17,70.8379925830001,36.523328995,3,2,1
1723315,Gharan Bala High School,1723,17,71.4393985240001,37.219533004,3,2,1
1801002,Khatayan High School,1801,18,69.64891581,36.67202229,6,4,2
1801003,Alfarooq School,1801,18,69.6140482,36.71013466,7,5,2
1801005,Khwaja Khalil School,1801,18,69.6698006,36.7960468,4,3,1
1801006,Sayed Abdullah Boys High School,1801,18,69.53944421,36.73917365,7,5,2
1801010,Doctar Sayed Hussain High School,1801,18,69.5341604600001,36.73622772,7,5,2
1801011,Abu Usman Boys High School,1801,18,69.5491905,36.73069365,9,6,3
1801021,Gul Nazar High School,1801,18,69.3639122,36.7408642500001,6,4,2
1801022,Aaq Masjid High School,1801,18,69.42963423,36.72563101,8,5,3
1801032,Ganj Ali Beg High School,1801,18,69.59076978,36.7430891000001,4,2,2
2101023,Sayed Ismail Balkhi School,2101,21,67.09460181,36.68296109,7,4,3
2101024,Nasaji,2101,21,67.0830131600001,36.6787938300001,5,3,2
2101029,Khurasan Girls School,2101,21,67.12259213,36.6912254900001,8,4,4
2101030,Ustad Jaahed School,2101,21,67.1386502600001,36.7159347900001,3,1,2
2101041,Shaheed Abdul Ali Mazari Number 2 School,2101,21,67.156912832,36.719204918,8,4,4
2101042,Neft O Gas Institute,2101,21,67.1269615300001,36.71042604,6,3,3
2103052,Bibi Zainab School,2103,21,66.93153895,36.66783093,7,4,3
2103053,Kaka Kot School,2103,21,66.95107762,36.70424663,3,2,1
2103056,Ghulam Mohammad Shaheed School,2103,21,67.0051358200001,36.6657706,4,3,1
2103057,Saleh Mohammad School,2103,21,66.9661175200001,36.65728069,4,2,2
2103062,Shaikh Abad School,2103,21,66.98563354,36.66921338,4,2,2
2104274,Shar Shar Sufla School,2104,21,67.18882246,36.41572155,3,2,1
2106149,Amir Mohammad Tokhi School,2106,21,66.8928768100001,36.73866946,3,2,1
2106151,Sehat Aama Clinic,2106,21,66.8982958,36.7511556800001,3,2,1
2106162,Colombo School,2106,21,66.94018596,36.8331655,2,1,1
2106163,Dewali Maidan School,2106,21,66.91052784,36.90615655,3,2,1
2106173,Arghandab Mosque,2106,21,66.78835042,36.82595595,2,1,1
2106174,Oof Maleek School,2106,21,66.8798696900001,36.6876157,3,2,1
2107244,Bibi Amena School,2107,21,66.8858490100001,36.38632024,3,2,1
2107245,Agha Jan School,2107,21,66.88643168,36.3994285100001,2,1,1
2107250,Ahmad Alkhadroya School,2107,21,66.88052238,36.36404936,4,2,2
2107251,Bibi Maryam School,2107,21,66.88051663,36.34903405,3,2,1
2107256,Qaland Khalili School,2107,21,66.9329974,36.41312523,3,2,1
2107257,Ai Latan School,2107,21,66.91434837,36.31602631,3,2,1
2107273,Lal Mohammad Private House,2107,21,66.8875799400001,36.39270831,2,1,1
2108211,Mir Qasim Jan School,2108,21,66.90842625,36.6414269200001,3,2,1
2108232,Rabat School,2108,21,66.9439729800001,36.59627844,2,1,1
2108233,Nawshahr Alizai Mosque,2108,21,66.57765352,36.72690038,3,2,1
2109133,Tali Gag School,2109,21,66.77331454,37.0258262500001,3,2,1
2109134,Hashim Abad Mosque,2109,21,66.87380091,36.9646858500001,2,1,1
2109139,Zadiyan School,2109,21,66.9433117500001,37.02871516,2,1,1
2109140,Bay Mashhad School,2109,21,66.8254389,36.94535127,2,1,1
2110079,Khwaja Burhan Girls School,2110,21,67.7277756,36.70437375,3,1,2
2110080,Amin Hussain Girls School,2110,21,67.6869037700001,36.7115320300001,3,1,2
2111180,Abu Shakoor Balkhi School,2111,21,66.67056431,36.7538094600001,2,1,1
2111181,Ahmad Abad School,2111,21,66.6235412600001,36.89589412,3,2,1
2111184,Arnagha School,2111,21,66.6803475400001,36.82546374,3,2,1
2111185,Adeena Mosque,2111,21,66.70254091,36.89436801,2,1,1
2111190,Borolok School,2111,21,66.56485238,36.9252235800001,2,1,1
2111191,Badaye Bakhli School,2111,21,66.59436644,36.77254882,2,1,1
2111201,Districts Building,2111,21,66.7055788100001,36.76744425,2,1,1
2111202,Mangoli School,2111,21,66.5931455300001,36.87782087,2,1,1
2111206,Jame Mosque,2111,21,66.743505,36.84249054,2,1,1
2111207,Mula Shaheen Private House,2111,21,66.7491289100001,36.78573044,2,1,1
2112109,Jirtan School,2112,21,67.3254163400001,37.17481985,3,2,1
2112110,Tashguzar School,2112,21,67.2100113700001,37.2021791500001,3,2,1
2113101,Tazlaq Secondary School,2113,21,67.5054935,37.23345408,3,2,1
2113102,Haji Wali Private House,2113,21,67.74368254,37.18503166,2,1,1
2113105,Bozareekh Secondary School,2113,21,67.7200387,37.19529916,2,1,1
2113106,Kareem Qaryadar Private House,2113,21,67.6781713500001,37.19878578,2,1,1
2114290,Kushenda Bala School,2114,21,66.90077498,36.0796895600001,3,2,1
2114291,Kushenda Payan School,2114,21,66.92153775,36.15308457,3,2,1
2115313,Abdaalgan Secondary School,2115,21,66.73298013,35.8317105,4,3,1
