id,name,distId,provId,lat,lon,closed,ps_female,ps_male,ps_total
2108225,Mula Juma Khan School,2108,21,36.5697516600001,66.56887229,0,3,4,7
2501002,Nachin Secondary School,2501,25,32.6316856,65.9249850800001,0,1,2,3
2501003,Haji Zahir Mosque,2501,25,32.6790785900001,65.89290027,0,2,3,5
2711224,Ghazi Abdullah Khan High School,2711,27,31.0044790200002,66.41401143,0,1,3,4
2711225,Akhtarzai Loy Village,2711,27,31.17742325,66.4815841800001,0,1,4,5
2801007,Eid Mahalla High School,2801,28,36.67125652,65.7197797100001,0,2,4,6
2801008,Ghulam Sarwar Shaheed High School,2801,28,36.6570630800001,65.73791603,0,2,4,6
2807034,Haidar Abad Girls High School,2807,28,36.92456444,66.24895396,0,1,2,3
2807035,Besh Areegh Mosque,2807,28,36.9335715500001,66.1936964000001,0,1,2,3
3004051,Yakhchal School,3004,30,31.7937696600001,64.6844034200001,0,2,2,4
3006124,Abbas Abad School,3006,30,30.59568189,64.3571851400001,0,2,2,4
3202042,Taryak School,3202,32,34.2653954300001,62.2815458100001,0,1,2,3
3202043,Emam Shash Noor School,3202,32,34.27691883,62.3261442400001,0,2,2,4
3206441,Deh Shaikh Mosque,3206,32,34.2217414200001,62.5479785300001,0,1,1,2
3207165,Kashak Rubat Sangi Awal  Center Mosque,3207,32,34.7986620300001,62.1366307500001,0,1,2,3
3207182,Chapqal School ,3207,32,35.0987116900002,62.1979245200001,0,2,2,4
3207183,Jafar Big Kawdani School ,3207,32,34.7301008,62.3281927200001,0,1,2,3
3214344,Fajer Mosque ,3214,32,33.35492412,62.0503773900001,0,1,1,2
3214345,Kalata Nazar Khan Mosque,3214,32,33.2978102800001,61.9609976900001,0,1,2,3
3310179,Toot Mosque ,3310,33,32.8112232100001,63.4892000400001,0,1,1,2
101087,Spin Kalai Girls High School,101,1,34.51863114,69.1167856700001,0,6,3,9
101105,Shah Wolayat Maab Mosque,101,1,34.46565378,69.11072483,0,1,2,3
101106,Qaeem Al-E- Mohammad Mosque,101,1,34.4810654800001,69.08526003,0,2,3,5
101126,Mehrabuddin High School,101,1,34.4708282,69.14036366,0,4,4,8
101127,Technical Institute,101,1,34.4781079200001,69.1646172700001,0,3,4,7
101172,Hakim Sanie Mosque,101,1,34.5114004800001,69.22567452,0,1,3,4
101173,Ranga Mosque,101,1,34.4935031700001,69.21166872,0,1,2,3
101178,Hazrat Mohammad Mustafa Mosque,101,1,34.53627426,69.2061031800001,0,1,3,4
101179,Reyasat Banaye,101,1,34.5380158600001,69.2089160200001,0,1,3,4
101193,Imam-E- Abu Hanifa Mosque,101,1,34.5584504600001,69.1692821600001,0,1,1,2
101194,Aziza Afghan Secondary School,101,1,34.5518654800001,69.19984432,0,2,3,5
101233,Makhfi Badakhshi High School,101,1,34.5792967200001,69.1412405400001,0,3,3,6
101234,Khalilullah Khalili High School,101,1,34.5805027700001,69.123225,0,2,3,5
101294,Bi Bi Sara High School,101,1,34.5739457200001,69.15306092,0,4,4,8
101295,Sarwar-E-Kaienat Mosque,101,1,34.57388888,69.12444444,0,3,3,6
101303,Mohammad Anwer Bismel High School,101,1,34.5883213750001,69.153872187,0,4,4,8
101504,Im-E-Zafra Mosque,101,1,34.5935326000001,69.1459266600001,0,2,3,5
101312,Qala Zaman Khan Secondary School,101,1,34.5275739300001,69.21256781,0,3,3,6
101320,Abu Ayub Ansari Mosque,101,1,34.5350035600001,69.2139315900001,0,1,1,2
101321,Hazrat-E-Bilal Mosque,101,1,34.52956888,69.21954949,0,1,2,3
101510,Sharif Qul Bahu Mosque,101,1,34.5045432130001,69.354248472,0,3,2,5
302119,Barik Aab Mosque,302,3,34.9124183200001,69.28416666,0,2,3,5
302120,Qala-E-Malik High School,302,3,34.96968504,69.2099283800001,0,1,2,3
308149,Shamal Khel Mosque,308,3,34.8240131,69.4538488800001,0,1,1,2
407031,Girdi Mosque,407,4,34.60973599,68.13410482,0,1,1,2
407032,Haji Merza Shop,407,4,34.50573282,68.2431209900001,0,2,3,5
503043,Mawlana Yaqoub Charkhi School,503,5,33.80062887,68.94362033,0,3,6,9
505066,Surkh Abad Girls Secondary School,505,5,34.1781955600001,69.07234055,0,1,2,3
505067,Mohammad Agha High School,505,5,34.22533761,69.1047715800001,0,1,3,4
602064,Mohammady Sahebzada High School,602,6,34.45047685,70.51865823,0,3,4,7
602066,Haji Mazdoor Khan Tahwildar Dera,602,6,34.4437468400001,70.4967299700001,0,2,4,6
613343,Sayed Ahmad Khel Secondary School,613,6,34.1455095900001,70.60007097,0,1,2,3
613344,Dwani Village Big Mosque,613,6,34.15632949,70.6122661,0,0,3,3
614497,Malem Ghani House,614,6,34.49426908,70.9138928700001,0,2,0,2
614498,Open Space,614,6,34.4795246200001,70.92009011,0,0,2,2
806087,Roye Dara Mosque,806,8,35.2441129400001,69.29842467,0,1,2,3
806088,Janan Joy Mosque,806,8,35.18855094,69.2619666700001,0,1,2,3
901027,Loogari Near To Joy-E-Naw River,901,9,35.9522674300001,68.62417764,0,1,2,3
901028,Near To Shahr-E-Naw Kharoti Gorgan ,901,9,35.94565291,68.5772684000001,0,1,2,3
905060,Zeerina School,905,9,36.1128307600001,68.6866592800001,0,1,1,2
905061,Khwaja Khan Baba School,905,9,36.1574480400001,68.7193295800001,0,1,1,2
905237,Torani Ha Mosque,905,9,36.15374023,68.75440413,0,1,1,2
906112,Khenjan Boys High School,906,9,35.59924237,68.90135044,0,2,3,5
1003046,Jawdarah Mosque,1003,10,35.07186725,67.87541976,0,1,1,2
1003047,Cheraaghdan Mosque,1003,10,35.18643023,67.76469641,0,1,1,2
1005070,Munbar-E-Naishar ,1005,10,34.6885699700001,67.05057659,0,1,1,2
1106113,Yaqoobi Guest House,1106,11,33.5788270900001,68.02214026,0,2,0,2
1106114,Qeyaq High School ,1106,11,33.6184957500001,68.26803921,0,3,1,4
1109090,Hassan Khan Mosque,1109,11,33.6873198200001,68.23300427,1,2,0,2
1109091,Hassan Khan Village Mosque,1109,11,33.70839798,68.2112683000001,1,1,2,3
1203041,"Merza Khel  Bazar, Old School",1203,12,33.0834386700001,68.68805719,0,0,4,4
1203042,Bazi Wani Mosque,1203,12,32.9653202500001,68.56035882,0,4,0,4
1208139,Ali Zai Clinic,1208,12,32.77657545,68.9201638100001,0,0,2,2
1208140,Khair Manzo Girls Primary School,1208,12,32.6321518800001,68.8722529300001,0,2,0,2
101090,Mohammadia Darul Hefaz Mosque,101,1,34.5221298000001,69.1053621000001,0,1,1,2
101091,Professor Rasool Amin High School,101,1,34.5287508800001,69.1175937,0,3,4,7
101147,Sayed Noor Mohammad Shah Mina Girls High School,101,1,34.51260057,69.22757214,0,5,3,8
101148,Qala-E-Hashmat Khan High School,101,1,34.50042111,69.18859319,0,3,3,6
204029,Nasaji Gulbahar Girls High School ,204,2,35.1300009600001,69.3014123500001,0,2,3,5
204030,Ashtargeram Girls High School ,204,2,35.10346213,69.3094676800001,0,2,2,4
301019,Dolana Mosque,301,3,35.0170575000002,69.21062221,0,1,2,3
301020,Telanchi Girls School,301,3,35.0411062500001,69.22274772,0,1,2,3
305050,Jabal Seraj Boys High School,305,3,35.12184166,69.2346194400001,0,0,4,4
305051,Jabal Seraj Girls High School,305,3,35.1189698100001,69.23573905,0,4,0,4
408074,Imam-E-Abu Hanifa School,408,4,33.88576408,68.42284665,0,1,2,3
408075,Sanzala Mosque,408,4,33.84357601,68.39220794,0,1,1,2
602057,Saracha Boys High School,602,6,34.36856313,70.5334850400001,0,2,4,6
602058,Kaarez Kabeer Clinic,602,6,34.3789408,70.5201386000001,0,3,0,3
604105,Lalma School,604,6,34.3362378300001,70.45805829,0,1,1,2
604106,Kariz Jaame Mosque,604,6,34.28195702,70.34788613,0,0,2,2
604126,Ghulam Daag School,604,6,34.3136029800001,70.4573453200001,0,1,1,2
604127,Saparay Secondary School,604,6,34.2366973700001,70.36617553,1,1,1,2
907126,Daragi Village Mosque ,907,9,35.6234883200001,69.3172223500001,0,1,2,3
1105060,Anwar-Ul-Uloom School,1105,11,33.4572194800001,68.5153129500001,0,1,2,3
1208293,Khair Manzy Tent,1208,12,32.63216376,68.8722548200001,0,2,0,2
1209109,District Old Compound,1209,12,32.7645612900001,68.40139725,0,0,4,4
1209115,Hasi Village Mosque,1209,12,32.6947022400001,68.34612017,0,0,3,3
1209116,Malik Abdullah Guest House,1209,12,32.6942685400001,68.34643699,0,2,0,2
1211183,Peer Koti,1211,12,32.92701965,69.2568454,0,0,3,3
1211184,Zarif Guest House,1211,12,32.92703243,69.2568581800001,0,2,0,2
1213204,Hakim Khan Guest House,1213,12,33.1883247100001,69.25966832,0,2,0,2
1214247,Malekeshi Madrassa,1214,12,32.62542026,69.2443793300001,0,0,4,4
1214259,Eid Khan Madrassa,1214,12,32.79021587,69.3325621800001,0,0,3,3
1214260,Jangir Guest House,1214,12,32.79021587,69.3325777500001,0,2,0,2
1215273,Saravtah Mosque,1215,12,33.0087607800001,69.36835491,0,0,2,2
1215274,Mir Del Guest House,1215,12,33.0056765600001,69.37093676,0,2,0,2
1218301,District Center Secondary School,1218,12,32.0881279000001,68.67581223,0,2,0,2
1303097,Kam Jamali Hojra,1303,13,33.35960077,69.13770586,0,2,0,2
1306025,Usman Khel Mosque,1306,13,33.6531892900001,69.42953335,0,0,2,2
1306035,Khan Khel School,1306,13,33.66387495,69.48302024,0,1,2,3
1306036,Dam Mangal Madrassa,1306,13,33.60659968,69.48421625,0,0,2,2
1310162,Sulaiman Khel Mosque ,1310,13,33.7505984200001,69.79795435,0,0,4,4
1310163,Manda Khel High School,1310,13,33.7689625100001,69.8001322900001,0,4,0,4
1312152,Toshnak School,1311,13,33.7156082600001,69.6303381800001,0,1,3,4
1313049,Wacha Alagadi School,1311,13,33.8294944400001,69.51321941,0,0,2,2
1401038,Badsha Wali Hojra,1401,14,33.3639194400001,69.9933246200001,0,1,2,3
1408053,Tori Awbo Mosque,1408,14,33.34438324,70.2118561300001,0,2,2,4
