id,name,provId,geoId,totalPopulation,observersFirstRound,observersRunOff
1218,Wor Mamay,12,1218,"3,400",0,0
1214,Bermel (Burmul),12,1214,"33,800",17,0
1215,Gian,12,1215,"33,900",17,0
1212,Ziruk,12,1212,"18,700",14,13
1216,Dila,12,1216,"24,500",0,0
1219,Turwo (Tarwe),12,1219,"2,000",0,0
1401,Khost(Matun),14,1401,"133,700",52,135
1407,Sabri,14,1407,"68,900",0,0
1405,Musa Khel,14,1405,"39,800",17,0
1406,Nadir Shah Kot,14,1406,"31,000",15,15
1402,Mando Zayi,14,1402,"54,800",28,36
1404,Tani,14,1404,"58,000",32,44
1403,Gurbuz,14,1403,"25,500",21,22
1408,Tere Zayi,14,1408,"43,400",20,30
1410,Qalandar,14,1410,"9,900",0,12
1412,Shamal (Shamul),14,1412,"13,300",7,10
1411,Spera,14,1411,"23,600",0,0
1409,Bak,14,1409,"21,500",0,14
1413,Jaji Maydan,14,1413,"23,400",28,24
2801,Shiberghan,28,2801,"161,700",17,169
2804,Mingajik,28,2804,"41,700",14,0
2802,Khwaja Du Koh,28,2802,"26,200",9,12
2805,Qush Tepa,28,2805,"22,800",14,0
2808,Fayz Abad,28,2808,"40,500",14,15
2803,Khanaqa,28,2803,"22,600",9,10
2807,Aqcha,28,2807,"73,900",14,29
2809,Mardyan,28,2809,"37,500",12,15
2810,Qarqin,28,2810,"23,800",12,0
2806,Khamyab,28,2806,"13,600",0,8
2811,Darz Ab,28,2811,"47,800",0,0
2901,Maymana,29,2901,"78,500",20,88
2903,Khwaja Sabzposh,29,2903,"49,400",15,32
2902,Pashtun kot,29,2902,"183,500",15,46
2906,Shirin Tagab,29,2906,"79,100",15,30
2904,Almar,29,2904,"68,300",0,0
2907,Qaysar,29,2907,"138,400",15,1
2910,Kohistan,29,2910,"53,100",15,0
2908,Garziwan,29,2908,"73,700",15,36
2905,Bil Cheragh,29,2905,"50,700",15,0
2909,Dawlat Abad,29,2909,"47,200",15,2
2913,Andkhoy,29,2913,"38,700",15,27
2911,Qaram Qol,29,2911,"19,100",10,12
2914,Khan-e-Chahar Bagh,29,2914,"22,500",10,3
2912,Qorghan,29,2912,"45,800",15,16
3101,Qala-e-Naw,31,3101,"64,099",45,73
3103,Muqur,31,3103,"23,100",13,10
3102,Ab Kamari,31,3102,"71,600",25,35
3104,Qadis,31,3104,"88,400",23,41
3106,Jawand,31,3106,"76,600",17,0
3105,Bala Murghab,31,3105,"94,500",12,13
3107,Ghormach,31,3107,"53,600",17,0
3201,Hirat,32,3201,436300,68,246
3202,Injil,32,3202,"237,800",38,79
3207,Kushk,32,3207,121000,26,38
3205,Zinda Jan,32,3205,"55,500",23,28
3203,Guzara,32,3203,142700,38,50
3206,Pashtun Zarghun,32,3206,"97,500",26,39
3204,Karukh,32,3204,"62,000",23,32
3208,Gulran,32,3208,"91,500",26,28
3211,Ghoryan,32,3211,"85,900",8,32
3209,Adraskan,32,3209,"52,200",20,32
3215,Farsi,32,3215,"29,800",15,19
3212,Obe,32,3212,"73,600",20,28
3210,Kushk-e-Kohna,32,3210,"44,400",17,18
3213,Kohsan,32,3213,"52,900",22,29
3214,Shindand,32,3214,"173,800",0,42
3216,Chisht-e-Sharif,32,3216,"23,100",15,27
3301,Farah,33,3301,"108,400",56,142
3308,Bakwa,33,3308,"34,500",0,0
3306,Bala Buluk,33,3306,"69,500",17,1
3303,Khak-e-Safed,33,3303,"29,500",11,0
3302,Pusht Rod,33,3302,"39,500",21,23
3304,Qala-e-Kah,33,3304,"29,900",27,23
