id,name,ballotNumber,gender,party,incumbent
1-1247-52,Suhrab Atta,595,M,Ind,
1-1248-120,Qurban Ali Uruzghani,119,M,Ind,
1-1249-30,Mohammad Nayem Wardak,535,M,Ind,
1-1250-67,Alhaj Habibullah Ahmadzai,30,M,Ind,
1-1251-67,Ziaullhaq Safi,789,M,Ind,
1-1252-184,Gullabuddin Rasekh,581,M,Ind,
1-1253-98,Dr. Fraidon Noorzad,733,M,Ind,
1-1254-21,Dr. Abdul Basir Ranjbar,783,M,Ind,
1-1255-3,Zeba Safa,640,F,Ind,
1-1256-120,Sayed Karim Mansoor,682,M,Ind,
1-1257-12,Haji Hamidullah Nawabi,413,M,Ind,
1-1258-2032,Gheljai Noorzai,212,F,Political party,
1-1259-105,Mohammad Allamazadah,559,M,Ind,
1-1260-4,Abdul Manan Shiwae Sharq,615,M,Ind,
1-1261-34,Eng. Mohammad Ibrahim Aslami,775,M,Ind,
1-1262-1163,Mohammad Tamim Nooristani,723,M,Ind,
1-1263-3047,Najibullah Islamyar,178,M,Ind,
1-1264-1041,Anwar Khan Shamali,397,M,Ind,
1-1265-55,Alhaj Qazi Mir Afghan Safi,430,M,Ind,
1-1266-33,Habibullah Hassam,478,M,Ind,
1-1267-3064,Amanullah Tarin,342,M,Ind,
1-1268-48,sayed Naqibullah Hashemi,732,M,Ind,
1-1269-2,Farah Diba Shahzad,479,F,Ind,
1-1270-20,Mohammad Anwar Allah Daad,58,M,Ind,
1-1271-9,Alhaj Gen. Sardar Mohammad Abulfazel,687,M,Ind,
1-1272-20,Lutfullah Quraishi,686,M,Ind,
1-1273-91,Mohammad Ajmal Hodman,462,M,Ind,
1-1275-46,Abdul Basir Nabizadah,72,M,Ind,
1-1276-40,Alhaj Qudratullah Sahak,59,M,Ind,
1-1277-164,Eng. Fazelhaq Hemati,530,M,Ind,
1-1278-114,Sayed Alem Rasa,666,M,Ind,
1-1279-222,Mariam Yousufi,140,F,Ind,
1-1280-1202,Jamila Noorzai Raufi,597,F,Political party,
1-1281-67,Homaira Chakari Yousufzai,395,F,Ind,
1-1282-28,Haji Abdul Hussain Hussainzadah,516,M,Ind,
1-1283-128,Alhaj Mulla Mohammad Khan Ahmadi,217,M,Ind,
1-1284-32,Sayed Baqer Mohseni Kazemi,208,M,Ind,
1-1285-19,Fazel Rahman Sofizadah,607,M,Ind,
1-1286-48,Alhaj Dr. Mohammad Sediq,503,M,Ind,
1-1287-68,Mustafa Sultani,133,M,Ind,
1-1288-59,Fawad Aman,605,M,Ind,
1-1289-75,Ghorzang Seyal,341,M,Ind,
1-1290-46,Babrak Haqyar,498,M,Ind,
1-1291-170,Assadullah Zamir,519,M,Ind,
1-1292-1106,Shir Mohammad Ghafoori,322,M,Ind,
1-1293-168,Mawlawi Gada Mohammad Mufleh,290,M,Ind,
1-1294-1196,Abdul Matin Tawakulzai,249,M,Ind,
1-1295-207,Dr. Tobi Azami,440,F,Ind,
1-1297-60,Habib Rahman Sayaf,529,M,Political party,
1-1298-54,Alhaj Hamidullah Bakhshi,658,M,Ind,
1-1299-1040,Abdul Samad stanikzai,201,M,Ind,
1-1300-41,Sayed Burhan Sayed Jamal Taheri,71,M,Ind,
1-1301-74,Omran Omar Amarkhel,261,M,Ind,
1-1302-97,Dr. Nematullah Nemat,592,M,Ind,
