id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
1720,Khwahan,17,1720,3787,2938,6725,8977,9116,18093,,,,8977,9116,18093
1721,Kofab,17,1721,4648,3552,8200,12183,12196,24379,,,,12183,12196,24379
1722,Darwaz-e-payin,17,1722,3769,4237,8006,14234,14635,28869,,,,14234,14635,28869
1723,Eshkashem,17,1723,2808,2467,5275,7438,7703,15141,,,,7438,7703,15141
1724,Shaki,17,1724,2672,3193,5865,14235,14508,28743,,,,14235,14508,28743
1725,Zebak,17,1725,1487,1464,2951,4104,4494,8598,,,,4104,4494,8598
1726,Koran Wa Monjan,17,1726,2316,1179,3495,5130,5264,10394,,,,5130,5264,10394
1727,Darwaz-e-bala,17,1727,3295,3411,6706,12568,12710,25278,,,,12568,12710,25278
1728,Wakhan,17,1728,2433,2028,4461,7951,8345,16296,,,,7951,8345,16296
1801,Taluqan,18,1801,39058,28628,67686,82460,86403,168863,40367,39600,79967,122827,126003,248830
1802,Hazarsumoch,18,1802,3712,3363,7075,7310,7703,15013,,,,7310,7703,15013
1803,Baharak,18,1803,7086,6680,13766,16543,17203,33746,,,,16543,17203,33746
1804,Bangi,18,1804,8621,7787,16408,18980,19387,38367,,,,18980,19387,38367
1805,Chal,18,1805,5914,5819,11733,14876,15920,30796,,,,14876,15920,30796
1806,Namak Ab,18,1806,2557,1647,4204,6540,6804,13344,,,,6540,6804,13344
1807,Kalafgan,18,1807,8146,10744,18890,19108,19386,38494,,,,19108,19386,38494
1808,Farkhar,18,1808,10073,11112,21185,23596,24650,48246,1572,1380,2952,25168,26030,51198
1809,Khwaja Ghar,18,1809,3749,4006,7755,32189,33508,65697,3866,3863,7729,36055,37371,73426
1810,Rustaq,18,1810,24635,20408,45043,80535,84862,165397,7019,7175,14194,87554,92037,179591
1811,Ishkmish,18,1811,11027,10269,21296,31805,32610,64415,,,,31805,32610,64415
1812,Dasht-e-qala,18,1812,,,,17185,17717,34902,,,,17185,17717,34902
1813,Warsaj,18,1813,6817,8726,15543,20134,21312,41446,,,,20134,21312,41446
1814,Khwaja Bahawuddin,18,1814,4258,3298,7556,12696,12710,25406,,,,12696,12710,25406
1815,Darqad,18,1815,743,369,1112,14106,15278,29384,,,,14106,15278,29384
1816,Chahab,18,1816,12956,10504,23460,29495,30812,60307,13034,13246,26280,42529,44058,86587
1817,Yangi Qala,18,1817,3197,2059,5256,18851,19514,38365,5160,5382,10542,24011,24896,48907
1901,Kunduz,19,1901,52506,25168,77674,83856,86346,170202,87926,89637,177563,171782,175983,347765
1902,Chardarah,19,1902,2641,957,3598,39370,40826,80196,,,,39370,40826,80196
1903,Aliabad,19,1903,4348,3460,7808,25392,26063,51455,,,,25392,26063,51455
1904,Khanabad,19,1904,12953,9872,22825,52478,52671,105149,22490,22905,45395,74968,75576,150544
