ProvinceID,DistrictID,PollingCenterID,Center Name,Center Name,Hindu/Sikh,Nomad,Women,Men,Total
28,2808,2808097,مکتب متوسطه ذکور حیدر آباد,Haider Abad Boys Secondary School,0,0,268,337,605
28,2810,2810112,مکتب متوسطه جوی سرای,Joi Sarai Secondary School,0,0,194,319,513
28,2810,2810113,لیسه مخدوم قلی فراغ,Makhdoom Quli Faraghi High School,0,1,514,1287,1802
29,2901,2901001,لیسه نسوان کوهی خانه میمنه,Kohi Khana Maimana Girls High School,0,0,1297,1291,2588
29,2901,2901002,مکتب ظاهر آباد,Zahir Abad School,0,0,408,483,891
29,2901,2901003,مکتب لیسه نسوان مولانا امرالله,Maulana Amrullah Girls High School,0,2,1247,1282,2531
29,2901,2901004,لیسه ابوعبید جوزجای,Abu Obaid Jawzjani High School,0,1,749,2070,2820
29,2901,2901005,لیسه نسوان افغانکوت,Afghan Kot Girls High School,0,1,1598,834,2433
29,2901,2901006,مدرسه عالی ابو مسلم خراسای,Abu Muslim Khurasani Madrasa,0,1,749,904,1654
29,2901,2901007,مکتب متوسطه جرنیل غوث الدین,General Ghawsoddin Secondary School,0,0,567,1435,2002
29,2901,2901008,لیسه گوهر شاد بیگم,Gohar Shad Begam High School,0,4,806,1032,1842
29,2901,2901009,لیسه ستاره,Setara High School,0,1,1384,1048,2433
29,2901,2901010,لیسه خراسان,Khurasan High School,0,0,992,1367,2359
29,2901,2901011,مدیریت وتر نری,Veternary Department,0,0,828,1099,1927
29,2901,2901012,مکتب ذکور همت آباد,Hemat Abad Boys School,0,0,850,640,1490
29,2901,2901013,لیسه نسوان ده سیدان,Deh Saydan Girls High School,0,0,719,452,1171
29,2901,2901014,مکتب متوسطه دولت کپتان,Dawlat Kaptan Secondary School,0,0,737,635,1372
29,2901,2901015,مکتب لیسه صیاد رجب,Sayad Rajab High School,0,0,221,196,417
29,2901,2901016,مکتب نسوان پشه خای,Pasha Khani Girls School,0,0,591,339,930
29,2901,2901017,مکتب متوسطه یمبلاق,Yambalaq Secondary School,0,0,437,614,1051
29,2901,2901018,لیسه ذکور تورپاختو,Torpakhto Boys High School,0,0,767,556,1323
29,2901,2901019,لیسه مسلکی زراعت میمنه,Agriculture Vocational High School of Maimana,0,1,140,538,679
29,2901,2901020,ریاست دارالمعلمی عالی فاریاب,Directorate of Faryab Teachers Training College,0,0,540,552,1092
29,2901,2901021,مکتب ذکور چعاتک,Chaa'tak Boys School,0,21,250,925,1196
29,2901,2901022,مکتب سربلاق,Sarbalaq School,0,1,555,591,1147
29,2901,2901023,مکتب ذکور خوجه پایتخت,Khoja Paitakht Boys School,0,0,548,440,988
29,2901,2901024,لیسه ده عزیزان,Deh Azizan High School,0,0,517,355,872
29,2902,2902028,مسجد قلعه سر حوض,Qala Sar Hawz Mosque,0,1,589,2367,2957
29,2902,2902040,مکتب متوسطه ذکور مرحوم الحاج روزی,Alhaj Roziqul Karwan Bashi Boys Secondary School,0,0,481,9ل ک7ا4روان با,960
29,2902,2902041,لیسه انجلاد,Anjalad High School,0,1,1393,858,2252
29,2902,2902042,مکتب متوسطه جمشیدی,Jamshidi Secondary School,0,0,819,726,1545
29,2902,2902043,مسجد علیکه بالا,Alika Bala Mosque,0,0,401,299,700
29,2902,2902044,مکتب لیسه قزلقول,Qazal Qol High School,0,0,278,431,709
29,2902,2902045,مکتب دهندره,Dahandara School,0,1,2199,2302,4502
29,2902,2902056,مکتب متوسطه ذکور عرب آقسای,Arab Aaqsai Boys Secondary School,0,1,1147,1731,2879
29,2903,2903071,تعمی لیسه ذکور ده نو,Deh Naw Boys High School Building,0,0,275,375,650
29,2903,2903072,لیسه نسوان بادغیسی,Badghisy Girls High School,0,1,455,569,1025
29,2904,2904085,مسجد جامع چغاتک,Chaghatak Jami Mosque,0,0,278,456,734
29,2904,2904086,مکتب لیسه نسوان شهید علاءالدین,Shaheed Alauddin Girls High School,0,0,999,1372,2371
29,2904,2904087,لیسه ذکور المار,Almar Boys High School,0,4,430,596,1030
29,2904,2904088,مسجد جامع جلگلدی,Jalgaldy Jami Mosque,0,3,1652,1741,3396
29,2904,2904089,مسجد جامع حاج سعید احمد,Haji Saeed Ahmad Jami Mosque,0,1,1023,1959,2983
29,2905,2905096,مکتب ذکورتغلمس,Taghlams Boys School,0,2,1680,2272,3954
29,2905,2905104,مکتب متوسطه ذکور چرمگری,Charamgari Boys Secondary School,0,2,1728,2330,4060
29,2905,2905105,مدرسه مرکز بلچراغ,Markaz Balcharagh Madrasa,0,0,1218,1608,2826
29,2905,2905106,مکتب متوسطه مختلط کینقول,Kenqol Boys and Girls Secondary School,0,1,1824,1742,3567
29,2906,2906113,لیسه شمس الدین شهید,Shamsuddin Shaheed High School,0,0,1065,607,1672
29,2906,2906115,مسجد قاض قشلاق,Qazi Qeshlaq Mosque,0,0,464,235,699
29,2906,2906116,لیسه نسوان کوه صیاد,Koh Sayaad Girls High School,0,0,630,621,1251
29,2907,2907123,مکتب چکنه یوزبیگ,Chakna Yozbegi School,0,0,784,574,1358
29,2907,2907124,مسجد جامع خواجه های بورغن,Khwajaha-e-Borghan Jami Mosque,0,2,322,708,1032
29,2907,2907125,مسجد جامع صیاد بورغن,Sayad Borghan Jami Mosque,0,8,503,512,1023
29,2907,2907128,مکتب خواجه تبجاق,Khwaja Tabjaq School,0,0,1179,1921,3100
29,2907,2907129,مسجد جامع ثور,Sawr Jami Mosque,0,0,363,553,916
29,2907,2907130,مکتب کوهی,Kohi School,0,0,520,704,1224
29,2907,2907131,مسجد جامع ینگ زرغوی,Yangee Zarghoi Jami Mosque,0,2,475,628,1105
29,2907,2907132,مکتب متوسط نسوان مهدی خواجه,Mahdi Khwaja Girls Secondary School,0,2,317,681,1000
29,2907,2907133,لیسه نادم قیصاری,Naadim Qaisary High School,0,1,585,889,1475
29,2907,2907134,مکتب متوسطه ذکور بوری,Bori Boys Secondary School,0,2,1161,563,1726
29,2907,2907135,مکتب ابتدایه یلدوز,Yaldoz Primary School,0,0,303,351,654
29,2907,2907136,مسجد امام ابو حنیفه,Imam Abu Hanifa Mosque,0,2,1249,2048,3299
29,2907,2907137,مکتب ذکور صوف قلعه,Sofi Qala Boys School,0,1,1516,1483,3000
29,2907,2907138,مسجد یکه پسته افغانیه,Yaka Pista Afghania Mosque,0,4,1429,1737,3170
29,2907,2907139,مسجد جامع بیکه,Berka Jami Mosque,0,23,934,1135,2092
29,2907,2907141,مکت ابتدائیه زوری ها,Zoriha Primary School,0,3,1869,2376,4248
29,2907,2907143,مکتب ابتدای چیچکتو,Chechakto Primary School,0,0,341,1881,2222
29,2907,2907150,مسجد چهار شنبه ازبکیه,Charshamba Uzbakia Mosque,0,0,1763,2102,3865
29,2907,2907151,مکتب ابتدائیه ذکور هزاره قلعه چهلگزی,Hazara Qala Chalgazi Boys Primary School,0,0,591,2154,2745
29,2908,2908168,لیسه ذکور سرچکان,Sarchakan Boys High School,0,0,719,2187,2906
29,2908,2908169,لیسه نسوان دونگ قلعه,Dong Qala Girls High School,0,1,2256,5744,8001
29,2909,2909180,مسجد جامع قریه چغتای,Chaghtay Village Jami Mosque,0,0,534,1634,2168
29,2909,2909181,لیسه عبدالرحمن شهید,Abdul Rahman Shaheed High School,0,3,655,812,1470
29,2909,2909182,لیسه نسوان مرکزی,Central Girls High School,0,1,907,750,1658
29,2911,2911202,مکتب نسوان یوسف میزای,Yosof Mirzayee Girls School,0,1,881,678,1560
29,2911,2911203,لیسه مختلط آلت بولک,Aalti Bolak Boys and Girls High School,0,2,827,817,1646
29,2911,2911204,مکتب متوسطه قپچاق,Qechaq Secondary School,0,0,370,291,661
29,2911,2911205,لیسه نسوان آلت بولک,Aalti Bolak Girls High School,0,0,364,0,364
29,2911,2911206,مکتب ابتدائیه آلت بولک بالا,Aalti Bolak Bala Primary School,0,0,601,381,982
29,2911,2911207,تعمی ولسوالی قرمقول,Qaramqol District Building,0,0,260,449,709
29,2911,2911208,مکتب ابتدائیه یکه توت,Yaka Toot Primary School,0,0,689,448,1137
29,2911,2911209,مکتب متوسطه سربند,Sarban Secondary School,0,0,172,111,283
